% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 20:19
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.75054372283
0.0005 -0.0305 3.7849853596
0.0005 -0.0295 3.83186364851
0.0005 -0.0285 3.88287738091
0.0005 -0.0275 3.9363061087
0.0005 -0.0265 3.99148650336
0.0005 -0.0255 4.04788848985
0.0005 -0.0245 4.10510030517
0.0005 -0.0235 4.16275045866
0.0005 -0.0225 4.22051168089
0.0005 -0.0215 4.27807389861
0.0005 -0.0205 4.33513660471
0.0005 -0.0195 4.39142164506
0.0005 -0.0185 4.44665363529
0.0005 -0.0175 4.50047447901
0.0005 -0.0165 4.55244473673
0.0005 -0.0155 4.60217624824
0.0005 -0.0145 4.64937717906
0.0005 -0.0135 4.69318489581
0.0005 -0.0125 4.73142786157
0.0005 -0.0115 4.76144215078
0.0005 -0.0105 4.78122543776
0.0005 -0.0095 4.79006038437
0.0005 -0.0085 4.78918040245
0.0005 -0.0075 4.7813821488
0.0005 -0.0065 4.77123719343
0.0005 -0.0055 4.76288704679
0.0005 -0.0045 4.75707720937
0.0005 -0.0035 4.75335483353
0.0005 -0.0025 4.75083198487
0.0005 -0.0015 4.75836156275
0.0005 -0.0005 4.79726082245
0.0005 0.0005 4.78627959635
0.0005 0.0015 4.7282394259
0.0005 0.0025 4.71175428494
0.0005 0.0035 4.72880829673
0.0005 0.0045 4.77131174178
0.0005 0.0055 4.81785166527
0.0005 0.0065 4.84695455907
0.0005 0.0075 4.85499289917
0.0005 0.0085 4.85221808289
0.0005 0.0095 4.84735154067
0.0005 0.0105 4.83985373188
0.0005 0.0115 4.8244932368
0.0005 0.0125 4.79665211671
0.0005 0.0135 4.75366363748
0.0005 0.0145 4.69939304621
0.0005 0.0155 4.64022819336
0.0005 0.0165 4.58047354525
0.0005 0.0175 4.52360523831
0.0005 0.0185 4.47033690693
0.0005 0.0195 4.42007837794
0.0005 0.0205 4.37226010494
0.0005 0.0215 4.32639042759
0.0005 0.0225 4.28202228707
0.0005 0.0235 4.2388867426
0.0005 0.0245 4.19685880455
0.0005 0.0255 4.15586662792
0.0005 0.0265 4.11588375489
0.0005 0.0275 4.07694925381
0.0005 0.0285 4.03927570473
0.0005 0.0295 4.0032977223
0.0005 0.0305 3.9702664272
0.0005 0.0315 3.94602120195
0.0015 -0.0315 3.71575852605
0.0015 -0.0305 3.7502142909
0.0015 -0.0295 3.80047174207
0.0015 -0.0285 3.85567217584
0.0015 -0.0275 3.91293683174
0.0015 -0.0265 3.97164915293
0.0015 -0.0255 4.03153107678
0.0015 -0.0245 4.09229477749
0.0015 -0.0235 4.15361570742
0.0015 -0.0225 4.21515286249
0.0015 -0.0215 4.27658480926
0.0015 -0.0205 4.33763668423
0.0015 -0.0195 4.39808620575
0.0015 -0.0185 4.45771735985
0.0015 -0.0175 4.51624489669
0.0015 -0.0165 4.57327642625
0.0015 -0.0155 4.62830157603
0.0015 -0.0145 4.68044214438
0.0015 -0.0135 4.72786446774
0.0015 -0.0125 4.76763608112
0.0015 -0.0115 4.7965659275
0.0015 -0.0105 4.81277173004
0.0015 -0.0095 4.81631786038
0.0015 -0.0085 4.80882218712
0.0015 -0.0075 4.79409267213
0.0015 -0.0065 4.77828740471
0.0015 -0.0055 4.76602078735
0.0015 -0.0045 4.75756623366
0.0015 -0.0035 4.75182560527
0.0015 -0.0025 4.74652387786
0.0015 -0.0015 4.77993775426
0.0015 -0.0005 4.87953454215
0.0015 0.0005 4.88822699577
0.0015 0.0015 4.76882252773
0.0015 0.0025 4.70034537641
0.0015 0.0035 4.71394221367
0.0015 0.0045 4.75732985833
0.0015 0.0055 4.80249208102
0.0015 0.0065 4.82822437064
0.0015 0.0075 4.83582920863
0.0015 0.0085 4.83741707508
0.0015 0.0095 4.83884430879
0.0015 0.0105 4.83433984637
0.0015 0.0115 4.81609658145
0.0015 0.0125 4.78269340015
0.0015 0.0135 4.73366873932
0.0015 0.0145 4.67364691228
0.0015 0.0155 4.61060521113
0.0015 0.0165 4.54923985844
0.0015 0.0175 4.49282646824
0.0015 0.0185 4.44138077677
0.0015 0.0195 4.39364918583
0.0015 0.0205 4.34843268793
0.0015 0.0215 4.30486131876
0.0015 0.0225 4.26237515143
0.0015 0.0235 4.22064814548
0.0015 0.0245 4.17949572981
0.0015 0.0255 4.13880922991
0.0015 0.0265 4.09852270468
0.0015 0.0275 4.05863470929
0.0015 0.0285 4.01926876907
0.0015 0.0295 3.98092209888
0.0015 0.0305 3.94575532369
0.0015 0.0315 3.9215667771
0.0025 -0.0315 3.66799972626
0.0025 -0.0305 3.6992111232
0.0025 -0.0295 3.74958144524
0.0025 -0.0285 3.80835337817
0.0025 -0.0275 3.87053835611
0.0025 -0.0265 3.93461456236
0.0025 -0.0255 4.00021582064
0.0025 -0.0245 4.06712621886
0.0025 -0.0235 4.13502817508
0.0025 -0.0225 4.20351209189
0.0025 -0.0215 4.27216437837
0.0025 -0.0205 4.34065147748
0.0025 -0.0195 4.4087424717
0.0025 -0.0185 4.47625289603
0.0025 -0.0175 4.54291785526
0.0025 -0.0165 4.60818615722
0.0025 -0.0155 4.67088809092
0.0025 -0.0145 4.72889096844
0.0025 -0.0135 4.77912723494
0.0025 -0.0125 4.81812029
0.0025 -0.0115 4.84300539636
0.0025 -0.0105 4.8531811659
0.0025 -0.0095 4.85010052844
0.0025 -0.0085 4.83586904517
0.0025 -0.0075 4.81466633089
0.0025 -0.0065 4.79256701792
0.0025 -0.0055 4.77373272271
0.0025 -0.0045 4.75872767561
0.0025 -0.0035 4.74855128643
0.0025 -0.0025 4.7511895398
0.0025 -0.0015 4.86045931746
0.0025 -0.0005 5.0766855306
0.0025 0.0005 5.14718336367
0.0025 0.0015 4.97872729375
0.0025 0.0025 4.80746997282
0.0025 0.0035 4.75782458042
0.0025 0.0045 4.76377501741
0.0025 0.0055 4.77726518565
0.0025 0.0065 4.77914723859
0.0025 0.0075 4.77862175599
0.0025 0.0085 4.78528904051
0.0025 0.0095 4.79738636984
0.0025 0.0105 4.80023832895
0.0025 0.0115 4.77995756422
0.0025 0.0125 4.73781119139
0.0025 0.0135 4.680305788
0.0025 0.0145 4.61501175143
0.0025 0.0155 4.54986714376
0.0025 0.0165 4.48927176881
0.0025 0.0175 4.43572545942
0.0025 0.0185 4.38838262761
0.0025 0.0195 4.3452533818
0.0025 0.0205 4.30453822292
0.0025 0.0215 4.26497775347
0.0025 0.0225 4.22580052972
0.0025 0.0235 4.186561432
0.0025 0.0245 4.14701164646
0.0025 0.0255 4.10701401504
0.0025 0.0265 4.06650993151
0.0025 0.0275 4.02555030022
0.0025 0.0285 3.98447956128
0.0025 0.0295 3.94460514916
0.0025 0.0305 3.90979787087
0.0025 0.0315 3.88805669683
0.0035 -0.0315 3.61580230995
0.0035 -0.0305 3.6432594368
0.0035 -0.0295 3.69078900359
0.0035 -0.0285 3.75012892318
0.0035 -0.0275 3.81571745396
0.0035 -0.0265 3.88490710789
0.0035 -0.0255 3.95678530185
0.0035 -0.0245 4.03100339062
0.0035 -0.0235 4.10717501908
