% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 26 2026, 07:37
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.87295842114
0.0005 -0.0305 3.89361486739
0.0005 -0.0295 3.91892904732
0.0005 -0.0285 3.94634561761
0.0005 -0.0275 3.974868285
0.0005 -0.0265 4.00439686452
0.0005 -0.0255 4.03472911377
0.0005 -0.0245 4.06587952386
0.0005 -0.0235 4.09777466897
0.0005 -0.0225 4.13032789603
0.0005 -0.0215 4.16348363303
0.0005 -0.0205 4.19704254918
0.0005 -0.0195 4.23083224041
0.0005 -0.0185 4.26452215248
0.0005 -0.0175 4.29768619822
0.0005 -0.0165 4.32982104397
0.0005 -0.0155 4.36041679158
0.0005 -0.0145 4.38876615739
0.0005 -0.0135 4.41450368499
0.0005 -0.0125 4.43639170637
0.0005 -0.0115 4.45435229144
0.0005 -0.0105 4.46699538431
0.0005 -0.0095 4.47383505925
0.0005 -0.0085 4.47406891374
0.0005 -0.0075 4.46787642908
0.0005 -0.0065 4.45821418444
0.0005 -0.0055 4.45079312821
0.0005 -0.0045 4.44732555475
0.0005 -0.0035 4.44431913222
0.0005 -0.0025 4.43473230232
0.0005 -0.0015 4.44250065649
0.0005 -0.0005 4.57923733151
0.0005 0.0005 4.69372922281
0.0005 0.0015 4.72710813872
0.0005 0.0025 4.73508137289
0.0005 0.0035 4.74274046731
0.0005 0.0045 4.74642043229
0.0005 0.0055 4.75386802489
0.0005 0.0065 4.77127677707
0.0005 0.0075 4.79360097726
0.0005 0.0085 4.80280871966
0.0005 0.0095 4.79165921979
0.0005 0.0105 4.76457913778
0.0005 0.0115 4.72698171056
0.0005 0.0125 4.68250527674
0.0005 0.0135 4.63472048892
0.0005 0.0145 4.58519303007
0.0005 0.0155 4.5356132871
0.0005 0.0165 4.48702929539
0.0005 0.0175 4.43997587501
0.0005 0.0185 4.39466804335
0.0005 0.0195 4.35121153328
0.0005 0.0205 4.30933710049
0.0005 0.0215 4.26917880155
0.0005 0.0225 4.2303602674
0.0005 0.0235 4.19296470776
0.0005 0.0245 4.15680323407
0.0005 0.0255 4.12186407602
0.0005 0.0265 4.08813481095
0.0005 0.0275 4.05549921829
0.0005 0.0285 4.02415918341
0.0005 0.0295 3.99399794441
0.0005 0.0305 3.96589654389
0.0005 0.0315 3.94286940814
0.0015 -0.0315 3.85228378632
0.0015 -0.0305 3.87296437395
0.0015 -0.0295 3.90068948594
0.0015 -0.0285 3.93024143533
0.0015 -0.0275 3.96048252807
0.0015 -0.0265 3.99136308148
0.0015 -0.0255 4.02285782425
0.0015 -0.0245 4.05512205587
0.0015 -0.0235 4.08824125504
0.0015 -0.0225 4.12227650116
0.0015 -0.0215 4.15738896214
0.0015 -0.0205 4.19349024215
0.0015 -0.0195 4.23074010037
0.0015 -0.0185 4.26881030436
0.0015 -0.0175 4.30740587171
0.0015 -0.0165 4.34578211374
0.0015 -0.0155 4.38303969663
0.0015 -0.0145 4.41785293141
0.0015 -0.0135 4.44942221837
0.0015 -0.0125 4.47584947964
0.0015 -0.0115 4.49661168948
0.0015 -0.0105 4.50898187761
0.0015 -0.0095 4.5115168736
0.0015 -0.0085 4.50303999323
0.0015 -0.0075 4.48585896631
0.0015 -0.0065 4.46690550893
0.0015 -0.0055 4.45454422769
0.0015 -0.0045 4.44884625064
0.0015 -0.0035 4.44612588277
0.0015 -0.0025 4.44289245812
0.0015 -0.0015 4.47266003429
0.0015 -0.0005 4.63298922083
0.0015 0.0005 4.74165859653
0.0015 0.0015 4.75087133901
0.0015 0.0025 4.74418150301
0.0015 0.0035 4.74314274648
0.0015 0.0045 4.74746681776
0.0015 0.0055 4.76159130053
0.0015 0.0065 4.79209076599
0.0015 0.0075 4.83047040299
0.0015 0.0085 4.8516146466
0.0015 0.0095 4.84415877039
0.0015 0.0105 4.81135779797
0.0015 0.0115 4.76114678996
0.0015 0.0125 4.70129943716
0.0015 0.0135 4.63869660523
0.0015 0.0145 4.57778825737
0.0015 0.0155 4.52038541289
0.0015 0.0165 4.46748557392
0.0015 0.0175 4.41851748751
0.0015 0.0185 4.37288218216
0.0015 0.0195 4.32996598093
0.0015 0.0205 4.28898449528
0.0015 0.0215 4.24979414439
0.0015 0.0225 4.21186096369
0.0015 0.0235 4.17517551694
0.0015 0.0245 4.13949954131
0.0015 0.0255 4.10476010254
0.0015 0.0265 4.07085538174
0.0015 0.0275 4.03761112376
0.0015 0.0285 4.00497286132
0.0015 0.0295 3.97288996367
0.0015 0.0305 3.94251890511
