% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 20 2026, 11:44
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.87063600641
0.0005 -0.0305 3.90636035008
0.0005 -0.0295 3.95509994833
0.0005 -0.0285 4.00820680114
0.0005 -0.0275 4.06413277568
0.0005 -0.0265 4.12258773085
0.0005 -0.0255 4.18369676373
0.0005 -0.0245 4.24799297943
0.0005 -0.0235 4.31632584235
0.0005 -0.0225 4.38974811757
0.0005 -0.0215 4.46937029613
0.0005 -0.0205 4.55469122863
0.0005 -0.0195 4.64053465896
0.0005 -0.0185 4.71914094867
0.0005 -0.0175 4.78068297458
0.0005 -0.0165 4.82116366125
0.0005 -0.0155 4.84640492047
0.0005 -0.0145 4.86477040384
0.0005 -0.0135 4.88417125196
0.0005 -0.0125 4.90274675551
0.0005 -0.0115 4.90645851051
0.0005 -0.0105 4.89324888983
0.0005 -0.0095 4.88746490266
0.0005 -0.0085 4.87674768517
0.0005 -0.0075 4.79604042724
0.0005 -0.0065 4.69623219825
0.0005 -0.0055 4.65951283101
0.0005 -0.0045 4.65515550747
0.0005 -0.0035 4.65443451954
0.0005 -0.0025 4.65548477672
0.0005 -0.0015 4.66000665384
0.0005 -0.0005 4.6724892319
0.0005 0.0005 4.69861969588
0.0005 0.0015 4.73895618247
0.0005 0.0025 4.78483734594
0.0005 0.0035 4.82442504915
0.0005 0.0045 4.85019282336
0.0005 0.0055 4.86133653298
0.0005 0.0065 4.86296853906
0.0005 0.0075 4.86196840834
0.0005 0.0085 4.86272397072
0.0005 0.0095 4.86602577343
0.0005 0.0105 4.87030593047
0.0005 0.0115 4.87384582133
0.0005 0.0125 4.87574120594
0.0005 0.0135 4.87520495789
0.0005 0.0145 4.87053764977
0.0005 0.0155 4.85777539194
0.0005 0.0165 4.83169722659
0.0005 0.0175 4.79199044044
0.0005 0.0185 4.74260400736
0.0005 0.0195 4.68775936093
0.0005 0.0205 4.63102401125
0.0005 0.0215 4.5738320981
0.0005 0.0225 4.51677452195
0.0005 0.0235 4.46051353131
0.0005 0.0245 4.40561229142
0.0005 0.0255 4.35249543521
0.0005 0.0265 4.30144019184
0.0005 0.0275 4.252585207
0.0005 0.0285 4.2060759205
0.0005 0.0295 4.16216144663
0.0005 0.0305 4.12203118982
0.0005 0.0315 4.0926825049
0.0015 -0.0315 3.83447338228
0.0015 -0.0305 3.86978091824
0.0015 -0.0295 3.92099716678
0.0015 -0.0285 3.97635496569
0.0015 -0.0275 4.03282630335
0.0015 -0.0265 4.09003312032
0.0015 -0.0255 4.14834179467
0.0015 -0.0245 4.2086610125
0.0015 -0.0235 4.27255811108
0.0015 -0.0225 4.34237144639
0.0015 -0.0215 4.42080928487
0.0015 -0.0205 4.50917804636
0.0015 -0.0195 4.60347470446
0.0015 -0.0185 4.69394726591
0.0015 -0.0175 4.76483461718
0.0015 -0.0165 4.80996381394
0.0015 -0.0155 4.83653455472
0.0015 -0.0145 4.85328234218
0.0015 -0.0135 4.87097162389
0.0015 -0.0125 4.89251304371
0.0015 -0.0115 4.90631150895
0.0015 -0.0105 4.90951867843
0.0015 -0.0095 4.92871478854
0.0015 -0.0085 4.93748508717
0.0015 -0.0075 4.85037297924
0.0015 -0.0065 4.71217329769
0.0015 -0.0055 4.65429047627
0.0015 -0.0045 4.65675022303
0.0015 -0.0035 4.6555827156
0.0015 -0.0025 4.65416753667
0.0015 -0.0015 4.65400183703
0.0015 -0.0005 4.6616797773
0.0015 0.0005 4.68537035432
0.0015 0.0015 4.72580614594
0.0015 0.0025 4.77264711596
0.0015 0.0035 4.81247615225
0.0015 0.0045 4.83768505022
0.0015 0.0055 4.84858110673
0.0015 0.0065 4.85125288894
0.0015 0.0075 4.85274160903
0.0015 0.0085 4.85682610776
0.0015 0.0095 4.86341442451
0.0015 0.0105 4.8700913933
0.0015 0.0115 4.87478738045
0.0015 0.0125 4.87690818812
0.0015 0.0135 4.87621144798
0.0015 0.0145 4.87189841646
0.0015 0.0155 4.86113848197
0.0015 0.0165 4.83778984622
0.0015 0.0175 4.79910286775
0.0015 0.0185 4.74788708902
0.0015 0.0195 4.68847191867
0.0015 0.0205 4.62542403259
0.0015 0.0215 4.56176393792
0.0015 0.0225 4.499204136
0.0015 0.0235 4.43882385528
0.0015 0.0245 4.38129685018
0.0015 0.0255 4.32684845302
0.0015 0.0265 4.27528001384
0.0015 0.0275 4.22611320402
0.0015 0.0285 4.1788202111
0.0015 0.0295 4.13328434988
0.0015 0.0305 4.09156260526
0.0015 0.0315 4.06285802536
0.0025 -0.0315 3.78495906076
0.0025 -0.0305 3.81589990758
0.0025 -0.0295 3.86525920367
0.0025 -0.0285 3.92076375164
0.0025 -0.0275 3.97659734655
0.0025 -0.0265 4.03113783855
0.0025 -0.0255 4.08458178218
0.0025 -0.0245 4.13820374814
0.0025 -0.0235 4.1944526582
0.0025 -0.0225 4.25707700392
0.0025 -0.0215 4.33068245855
0.0025 -0.0205 4.41867916968
0.0025 -0.0195 4.51937093939
0.0025 -0.0185 4.6225788792
0.0025 -0.0175 4.7095853518
0.0025 -0.0165 4.76766077612
0.0025 -0.0155 4.80126923482
0.0025 -0.0145 4.82371575668
0.0025 -0.0135 4.84817739348
0.0025 -0.0125 4.88208405318
0.0025 -0.0115 4.92401807647
0.0025 -0.0105 4.97016804359
0.0025 -0.0095 5.02644332469
0.0025 -0.0085 5.04973609804
0.0025 -0.0075 4.96150707326
0.0025 -0.0065 4.78885052026
0.0025 -0.0055 4.67772427291
0.0025 -0.0045 4.65834060224
0.0025 -0.0035 4.65451088608
0.0025 -0.0025 4.64953445456
0.0025 -0.0015 4.64575893443
0.0025 -0.0005 4.65092582543
0.0025 0.0005 4.67265740714
0.0025 0.0015 4.70956466331
0.0025 0.0025 4.75055914219
0.0025 0.0035 4.78335774885
0.0025 0.0045 4.80233008384
0.0025 0.0055 4.81022948341
0.0025 0.0065 4.81398186684
0.0025 0.0075 4.8197942204
0.0025 0.0085 4.83043638095
0.0025 0.0095 4.8449254879
0.0025 0.0105 4.85981494793
0.0025 0.0115 4.87110765477
0.0025 0.0125 4.87649564281
0.0025 0.0135 4.8758795128
0.0025 0.0145 4.87016850158
0.0025 0.0155 4.85914252439
0.0025 0.0165 4.83821086796
0.0025 0.0175 4.80176714468
0.0025 0.0185 4.74877004174
0.0025 0.0195 4.6827630552
0.0025 0.0205 4.60973683014
0.0025 0.0215 4.53536113847
0.0025 0.0225 4.46357070715
0.0025 0.0235 4.39660489264
0.0025 0.0245 4.33532744641
0.0025 0.0255 4.27945142105
0.0025 0.0265 4.2278487144
0.0025 0.0275 4.17903763923
0.0025 0.0285 4.13184237476
0.0025 0.0295 4.08651844261
0.0025 0.0305 4.04685843637
0.0025 0.0315 4.02207145547
