% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 04:01
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 4.42512073265
0.0005 -0.0305 4.44046335391
0.0005 -0.0295 4.46155891392
0.0005 -0.0285 4.48478981088
0.0005 -0.0275 4.50911141516
0.0005 -0.0265 4.53407093009
0.0005 -0.0255 4.55949100048
0.0005 -0.0245 4.58527864428
0.0005 -0.0235 4.61135376836
0.0005 -0.0225 4.63767321973
0.0005 -0.0215 4.66420643689
0.0005 -0.0205 4.69092900263
0.0005 -0.0195 4.7177929768
0.0005 -0.0185 4.74482299139
0.0005 -0.0175 4.77198000078
0.0005 -0.0165 4.79860283592
0.0005 -0.0155 4.82331627478
0.0005 -0.0145 4.84452322191
0.0005 -0.0135 4.86065382295
0.0005 -0.0125 4.86989547875
0.0005 -0.0115 4.87135886772
0.0005 -0.0105 4.86790696119
0.0005 -0.0095 4.86520494965
0.0005 -0.0085 4.82896969893
0.0005 -0.0075 4.70909553935
0.0005 -0.0065 4.59232131986
0.0005 -0.0055 4.55539834128
0.0005 -0.0045 4.55165119116
0.0005 -0.0035 4.55304241539
0.0005 -0.0025 4.55369409606
0.0005 -0.0015 4.54963967491
0.0005 -0.0005 4.53744139965
0.0005 0.0005 4.51727430328
0.0005 0.0015 4.49152797929
0.0005 0.0025 4.46202174904
0.0005 0.0035 4.42996849803
0.0005 0.0045 4.39626242434
0.0005 0.0055 4.36152611961
0.0005 0.0065 4.32598559665
0.0005 0.0075 4.28962035381
0.0005 0.0085 4.25244854387
0.0005 0.0095 4.21455430543
0.0005 0.0105 4.17602885063
0.0005 0.0115 4.13697686664
0.0005 0.0125 4.09751573119
0.0005 0.0135 4.05776337282
0.0005 0.0145 4.0178290637
0.0005 0.0155 3.97781269223
0.0005 0.0165 3.93780143496
0.0005 0.0175 3.89786156815
0.0005 0.0185 3.85804797215
0.0005 0.0195 3.8184133898
0.0005 0.0205 3.77900972985
0.0005 0.0215 3.73988605706
0.0005 0.0225 3.70108698461
0.0005 0.0235 3.66266450447
0.0005 0.0245 3.62467906297
0.0005 0.0255 3.58720254031
0.0005 0.0265 3.55033667788
0.0005 0.0275 3.51419321294
0.0005 0.0285 3.4790324196
0.0005 0.0295 3.44555039571
0.0005 0.0305 3.41523721093
0.0005 0.0315 3.39321524462
0.0015 -0.0315 4.40982098682
0.0015 -0.0305 4.42529741373
0.0015 -0.0295 4.44797491426
0.0015 -0.0285 4.47304859752
0.0015 -0.0275 4.49905223411
0.0015 -0.0265 4.52547840664
0.0015 -0.0255 4.5521292122
0.0015 -0.0245 4.57893370471
0.0015 -0.0235 4.60586375852
0.0015 -0.0225 4.63291793521
0.0015 -0.0215 4.66012807527
0.0015 -0.0205 4.68755521283
0.0015 -0.0195 4.71530689193
0.0015 -0.0185 4.74350163888
