% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2026, 17:44
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 4.92685474549
0.0005 -0.0305 4.91307345307
0.0005 -0.0295 4.89620881972
0.0005 -0.0285 4.8778899091
0.0005 -0.0275 4.85873976883
0.0005 -0.0265 4.83888919561
0.0005 -0.0255 4.81857319225
0.0005 -0.0245 4.79785327903
0.0005 -0.0235 4.77682965445
0.0005 -0.0225 4.75586817651
0.0005 -0.0215 4.73697466692
0.0005 -0.0205 4.72282009148
0.0005 -0.0195 4.71367198999
0.0005 -0.0185 4.69826589713
0.0005 -0.0175 4.68267763736
0.0005 -0.0165 4.59362151991
0.0005 -0.0155 4.36632194749
0.0005 -0.0145 4.12991684194
0.0005 -0.0135 4.11428040703
0.0005 -0.0125 4.12774899075
0.0005 -0.0115 4.15277837224
0.0005 -0.0105 4.2486376878
0.0005 -0.0095 4.40513714789
0.0005 -0.0085 4.55607308487
0.0005 -0.0075 4.65729678289
0.0005 -0.0065 4.70533766421
0.0005 -0.0055 4.7310688266
0.0005 -0.0045 4.76623969772
0.0005 -0.0035 4.82196340915
0.0005 -0.0025 4.88499007145
0.0005 -0.0015 4.94025870037
0.0005 -0.0005 4.983420566
0.0005 0.0005 5.01380643327
0.0005 0.0015 5.03515817425
0.0005 0.0025 5.04997153579
0.0005 0.0035 5.06039075949
0.0005 0.0045 5.06819266308
0.0005 0.0055 5.07457614607
0.0005 0.0065 5.08027913332
0.0005 0.0075 5.0871907208
0.0005 0.0085 5.0991642205
0.0005 0.0095 5.10780688358
0.0005 0.0105 5.09566010647
0.0005 0.0115 5.06175160955
0.0005 0.0125 5.00672270189
0.0005 0.0135 4.93252342255
0.0005 0.0145 4.84176991648
0.0005 0.0155 4.74462869582
0.0005 0.0165 4.64765838199
0.0005 0.0175 4.55587070432
0.0005 0.0185 4.46955339019
0.0005 0.0195 4.38885480861
0.0005 0.0205 4.31298272371
0.0005 0.0215 4.24230080593
0.0005 0.0225 4.17542808358
0.0005 0.0235 4.11233206041
0.0005 0.0245 4.05227183048
0.0005 0.0255 3.99496147845
0.0005 0.0265 3.94018139483
0.0005 0.0275 3.88753024911
0.0005 0.0285 3.83725418423
0.0005 0.0295 3.78900572593
0.0005 0.0305 3.74405888465
0.0005 0.0315 3.70722359399
0.0015 -0.0315 4.94082742122
0.0015 -0.0305 4.92755612231
0.0015 -0.0295 4.90977005763
0.0015 -0.0285 4.89057287417
0.0015 -0.0275 4.87059366915
0.0015 -0.0265 4.84985741758
0.0015 -0.0255 4.82862054259
0.0015 -0.0245 4.80704077355
0.0015 -0.0235 4.78533912967
0.0015 -0.0225 4.76400317648
0.0015 -0.0215 4.74551643685
0.0015 -0.0205 4.73241869388
0.0015 -0.0195 4.724219274
0.0015 -0.0185 4.71506693185
0.0015 -0.0175 4.71512130372
0.0015 -0.0165 4.6314821938
0.0015 -0.0155 4.40187271731
0.0015 -0.0145 4.1622363999
0.0015 -0.0135 4.12631410809
0.0015 -0.0125 4.13359348675
0.0015 -0.0115 4.15080521544
0.0015 -0.0105 4.23195132727
0.0015 -0.0095 4.38322961659
0.0015 -0.0085 4.52923510174
0.0015 -0.0075 4.63229217177
0.0015 -0.0065 4.68708039653
0.0015 -0.0055 4.71736510394
0.0015 -0.0045 4.7550936191
0.0015 -0.0035 4.81295161515
0.0015 -0.0025 4.87829315779
0.0015 -0.0015 4.93653161089
0.0015 -0.0005 4.98280214903
0.0015 0.0005 5.01535711939
0.0015 0.0015 5.03725957991
0.0015 0.0025 5.0518855578
0.0015 0.0035 5.06189467039
0.0015 0.0045 5.06872117507
0.0015 0.0055 5.07446868782
0.0015 0.0065 5.08123774186
0.0015 0.0075 5.09227383543
0.0015 0.0085 5.11153175698
0.0015 0.0095 5.12811556983
0.0015 0.0105 5.1148623372
0.0015 0.0115 5.07298765432
0.0015 0.0125 5.01102320008
0.0015 0.0135 4.93089454247
0.0015 0.0145 4.83283131697
0.0015 0.0155 4.72640619782
0.0015 0.0165 4.6185632659
0.0015 0.0175 4.51616839835
0.0015 0.0185 4.42288876038
0.0015 0.0195 4.33990031553
0.0015 0.0205 4.26462583315
0.0015 0.0215 4.19642816706
0.0015 0.0225 4.13264385003
0.0015 0.0235 4.07266913873
0.0015 0.0245 4.01538170871
0.0015 0.0255 3.96027795516
0.0015 0.0265 3.9069426847
0.0015 0.0275 3.85488000728
0.0015 0.0285 3.80387656374
0.0015 0.0295 3.75368882726
0.0015 0.0305 3.7059934779
0.0015 0.0315 3.67005308978
0.0025 -0.0315 4.95797834271
0.0025 -0.0305 4.94747858793
0.0025 -0.0295 4.93129291278
0.0025 -0.0285 4.91230712693
0.0025 -0.0275 4.8919079702
0.0025 -0.0265 4.87014119178
0.0025 -0.0255 4.84748488514
0.0025 -0.0245 4.82446479256
0.0025 -0.0235 4.80204987384
0.0025 -0.0225 4.78149150733
0.0025 -0.0215 4.76500328081
0.0025 -0.0205 4.75263079111
0.0025 -0.0195 4.74540836082
0.0025 -0.0185 4.74058721844
0.0025 -0.0175 4.74149166109
0.0025 -0.0165 4.71804925783
0.0025 -0.0155 4.5315050982
0.0025 -0.0145 4.21456407981
0.0025 -0.0135 4.15365832231
0.0025 -0.0125 4.14947207788
0.0025 -0.0115 4.1568818496
0.0025 -0.0105 4.2208394247
0.0025 -0.0095 4.34760184192
0.0025 -0.0085 4.49064975702
0.0025 -0.0075 4.60578599131
0.0025 -0.0065 4.66650022499
0.0025 -0.0055 4.69191313417
0.0025 -0.0045 4.71340985874
0.0025 -0.0035 4.74999062094
0.0025 -0.0025 4.79923259933
0.0025 -0.0015 4.85944507176
0.0025 -0.0005 4.92313645676
0.0025 0.0005 4.98143091506
0.0025 0.0015 5.0251529802
0.0025 0.0025 5.05107035425
0.0025 0.0035 5.06348715567
0.0025 0.0045 5.06995348623
0.0025 0.0055 5.07523085857
0.0025 0.0065 5.08290076547
0.0025 0.0075 5.09690094464
0.0025 0.0085 5.12132628923
0.0025 0.0095 5.14337968307
0.0025 0.0105 5.12681364753
0.0025 0.0115 5.07187473554
0.0025 0.0125 4.99230014488
0.0025 0.0135 4.89842128192
0.0025 0.0145 4.79335936931
0.0025 0.0155 4.68121516439
0.0025 0.0165 4.5617249214
0.0025 0.0175 4.44706149916
0.0025 0.0185 4.34547150576
0.0025 0.0195 4.25943954231
0.0025 0.0205 4.18485787918
0.0025 0.0215 4.12012509096
0.0025 0.0225 4.06082515151
0.0025 0.0235 4.00557130259
0.0025 0.0245 3.95263725199
0.0025 0.0255 3.90117585054
0.0025 0.0265 3.8504971029
0.0025 0.0275 3.80005241679
0.0025 0.0285 3.749539936
0.0025 0.0295 3.6995714999
0.0025 0.0305 3.65449421987
0.0025 0.0315 3.62441123135
0.0035 -0.0315 4.976461122
0.0035 -0.0305 4.96944179575
0.0035 -0.0295 4.9574257916
0.0035 -0.0285 4.94131949332
0.0035 -0.0275 4.92233056249
0.0035 -0.0265 4.90034279237
0.0035 -0.0255 4.87622484508
0.0035 -0.0245 4.85102670525
0.0035 -0.0235 4.82690210286
0.0035 -0.0225 4.80580207802
0.0035 -0.0215 4.78905781441
0.0035 -0.0205 4.77572384363
0.0035 -0.0195 4.76821240272
0.0035 -0.0185 4.76639276502
0.0035 -0.0175 4.77661763818
0.0035 -0.0165 4.9236375545
0.0035 -0.0155 4.90772247277
0.0035 -0.0145 4.4059739599
0.0035 -0.0135 4.17857443285
0.0035 -0.0125 4.15587930856
0.0035 -0.0115 4.15311511018
0.0035 -0.0105 4.1995098868
0.0035 -0.0095 4.3072951646
0.0035 -0.0085 4.43901082667
0.0035 -0.0075 4.52874721169
0.0035 -0.0065 4.55353278481
0.0035 -0.0055 4.53854006138
0.0035 -0.0045 4.51554438192
0.0035 -0.0035 4.51057499225
0.0035 -0.0025 4.53272368027
0.0035 -0.0015 4.59728564091
0.0035 -0.0005 4.69794504774
0.0035 0.0005 4.8196220173
0.0035 0.0015 4.92986484804
0.0035 0.0025 5.00911917107
0.0035 0.0035 5.052986786
0.0035 0.0045 5.07441472602
0.0035 0.0055 5.08420995332
0.0035 0.0065 5.09317469076
0.0035 0.0075 5.10834662736
0.0035 0.0085 5.13119460057
0.0035 0.0095 5.13672331978
0.0035 0.0105 5.09006222499
0.0035 0.0115 5.01484256119
0.0035 0.0125 4.93251986294
0.0035 0.0135 4.83695519352
0.0035 0.0145 4.7248595508
0.0035 0.0155 4.60600103555
0.0035 0.0165 4.48058847014
0.0035 0.0175 4.36004725231
0.0035 0.0185 4.25290753825
0.0035 0.0195 4.16357334293
0.0035 0.0205 4.0886056839
0.0035 0.0215 4.02630937579
0.0035 0.0225 3.9709226355
0.0035 0.0235 3.92039956863
0.0035 0.0245 3.87222143004
0.0035 0.0255 3.82512308612
0.0035 0.0265 3.77817877563
0.0035 0.0275 3.73093822783
0.0035 0.0285 3.68360756973
0.0035 0.0295 3.63794676677
0.0035 0.0305 3.59929960404
0.0035 0.0315 3.57495125994
0.0045 -0.0315 4.99548740772
0.0045 -0.0305 4.99249335868
0.0045 -0.0295 4.9861884105
0.0045 -0.0285 4.9753867773
0.0045 -0.0275 4.96013419441
0.0045 -0.0265 4.93944497709
0.0045 -0.0255 4.91432059885
0.0045 -0.0245 4.8861164888
0.0045 -0.0235 4.85803951378
0.0045 -0.0225 4.83300325861
0.0045 -0.0215 4.81234464847
0.0045 -0.0205 4.79613994602
0.0045 -0.0195 4.78791684636
0.0045 -0.0185 4.78645048374
0.0045 -0.0175 4.83041276694
0.0045 -0.0165 5.3640183435
0.0045 -0.0155 5.7629353951
0.0045 -0.0145 5.07609325678
0.0045 -0.0135 4.28083769859
0.0045 -0.0125 4.14317882792
0.0045 -0.0115 4.14238713773
0.0045 -0.0105 4.18652776487
0.0045 -0.0095 4.27366707703
0.0045 -0.0085 4.36241875541
0.0045 -0.0075 4.39031730986
0.0045 -0.0065 4.34590879662
0.0045 -0.0055 4.29254080545
0.0045 -0.0045 4.25874361854
0.0045 -0.0035 4.24150864247
0.0045 -0.0025 4.24649770382
0.0045 -0.0015 4.30524146308
0.0045 -0.0005 4.42873291629
0.0045 0.0005 4.61531626038
0.0045 0.0015 4.80547194822
0.0045 0.0025 4.94881258858
0.0045 0.0035 5.03149013607
0.0045 0.0045 5.07836348729
0.0045 0.0055 5.11225434614
0.0045 0.0065 5.14650232143
0.0045 0.0075 5.18882054531
0.0045 0.0085 5.21611893924
0.0045 0.0095 5.14601697278
0.0045 0.0105 5.00465856258
0.0045 0.0115 4.89266089695
0.0045 0.0125 4.81447615859
0.0045 0.0135 4.73777445639
0.0045 0.0145 4.63723187225
0.0045 0.0155 4.51636563591
0.0045 0.0165 4.38894699253
0.0045 0.0175 4.26991784289
0.0045 0.0185 4.16109722187
0.0045 0.0195 4.06809865607
0.0045 0.0205 3.99046326765
0.0045 0.0215 3.92785554099
0.0045 0.0225 3.87433127046
0.0045 0.0235 3.82728847134
0.0045 0.0245 3.78328286024
0.0045 0.0255 3.74062220737
0.0045 0.0265 3.69817103884
0.0045 0.0275 3.65558119203
0.0045 0.0285 3.61366404662
0.0045 0.0295 3.57449543533
0.0045 0.0305 3.54276557933
0.0045 0.0315 3.52338524555
0.0055 -0.0315 5.0145724293
0.0055 -0.0305 5.01633771709
0.0055 -0.0295 5.01739883232
0.0055 -0.0285 5.01461633926
0.0055 -0.0275 5.00625975121
0.0055 -0.0265 4.98958565301
0.0055 -0.0255 4.96482454997
0.0055 -0.0245 4.93290523989
0.0055 -0.0235 4.89811784057
0.0055 -0.0225 4.86482042159
0.0055 -0.0215 4.8379131374
0.0055 -0.0205 4.81639531647
0.0055 -0.0195 4.80152859692
0.0055 -0.0185 4.79900294174
0.0055 -0.0175 5.00959497591
0.0055 -0.0165 6.34336707845
0.0055 -0.0155 7.47892084969
0.0055 -0.0145 6.88322787679
0.0055 -0.0135 5.37167041798
0.0055 -0.0125 4.63796720785
0.0055 -0.0115 4.44558846458
0.0055 -0.0105 4.42754335978
0.0055 -0.0095 4.41192408629
0.0055 -0.0085 4.34980706872
0.0055 -0.0075 4.26758268786
0.0055 -0.0065 4.20459001402
0.0055 -0.0055 4.17722976118
0.0055 -0.0045 4.16796505614
0.0055 -0.0035 4.15784581807
0.0055 -0.0025 4.15382812438
0.0055 -0.0015 4.19916828787
0.0055 -0.0005 4.32269768682
0.0055 0.0005 4.53426215152
0.0055 0.0015 4.76355900063
0.0055 0.0025 4.93558754515
0.0055 0.0035 5.02859429247
0.0055 0.0045 5.08470683411
0.0055 0.0055 5.14644006163
0.0055 0.0065 5.23270570628
0.0055 0.0075 5.35038107212
0.0055 0.0085 5.4340747356
0.0055 0.0095 5.30129219032
0.0055 0.0105 5.02008383267
0.0055 0.0115 4.83603686896
0.0055 0.0125 4.72648337486
0.0055 0.0135 4.63403595791
0.0055 0.0145 4.53589922812
0.0055 0.0155 4.42189822884
0.0055 0.0165 4.30045305318
0.0055 0.0175 4.18430730242
0.0055 0.0185 4.07738843527
0.0055 0.0195 3.98360133963
0.0055 0.0205 3.90122839898
0.0055 0.0215 3.83429332782
0.0055 0.0225 3.77877520556
0.0055 0.0235 3.73234764932
0.0055 0.0245 3.69090327905
0.0055 0.0255 3.65221486344
0.0055 0.0265 3.61475187464
0.0055 0.0275 3.5779700035
0.0055 0.0285 3.54276467211
0.0055 0.0295 3.51067863018
0.0055 0.0305 3.48532269643
0.0055 0.0315 3.47007091142
0.0065 -0.0315 5.0332060347
0.0065 -0.0305 5.04029955734
0.0065 -0.0295 5.04999355068
0.0065 -0.0285 5.0574198802
0.0065 -0.0275 5.05879068156
0.0065 -0.0265 5.04907378007
0.0065 -0.0255 5.02682213224
