% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 26 2026, 12:21
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        压力
% Length unit:        m
% x                       y                        p (Pa)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.85420961065
0.0005 -0.0305 3.90902963513
0.0005 -0.0295 3.97533718808
0.0005 -0.0285 4.04582134226
0.0005 -0.0275 4.11898739539
0.0005 -0.0265 4.19467484175
0.0005 -0.0255 4.27224938543
0.0005 -0.0245 4.35170129975
0.0005 -0.0235 4.43273168962
0.0005 -0.0225 4.51563064414
0.0005 -0.0215 4.59896773604
0.0005 -0.0205 4.67463257501
0.0005 -0.0195 4.72417700493
0.0005 -0.0185 4.74404691595
0.0005 -0.0175 4.74148248211
0.0005 -0.0165 4.72876410145
0.0005 -0.0155 4.76258784064
0.0005 -0.0145 4.82262891657
0.0005 -0.0135 4.84237316964
0.0005 -0.0125 4.8399171979
0.0005 -0.0115 4.82325809824
0.0005 -0.0105 4.82444547915
0.0005 -0.0095 4.86807707889
0.0005 -0.0085 4.9824069067
0.0005 -0.0075 5.08819757584
0.0005 -0.0065 5.11002896167
0.0005 -0.0055 5.06961178483
0.0005 -0.0045 5.00833732395
0.0005 -0.0035 4.91388554126
0.0005 -0.0025 4.76898162291
0.0005 -0.0015 4.56415380822
0.0005 -0.0005 4.33937848782
0.0005 0.0005 4.28534769401
0.0005 0.0015 4.29313954444
0.0005 0.0025 4.29923461808
0.0005 0.0035 4.30279147236
0.0005 0.0045 4.30717863886
0.0005 0.0055 4.31828103031
0.0005 0.0065 4.3505389345
0.0005 0.0075 4.40081255064
0.0005 0.0085 4.44881120892
0.0005 0.0095 4.48137928087
0.0005 0.0105 4.49278802654
0.0005 0.0115 4.48522187927
0.0005 0.0125 4.46188055885
0.0005 0.0135 4.42524137962
0.0005 0.0145 4.3806131022
0.0005 0.0155 4.33085667089
0.0005 0.0165 4.27922633788
0.0005 0.0175 4.22687223478
0.0005 0.0185 4.17460433529
0.0005 0.0195 4.12294211555
0.0005 0.0205 4.07220646872
0.0005 0.0215 4.02240753463
0.0005 0.0225 3.9735736892
0.0005 0.0235 3.9257658116
0.0005 0.0245 3.8788958206
0.0005 0.0255 3.83317688153
0.0005 0.0265 3.78853644456
0.0005 0.0275 3.74514266961
0.0005 0.0285 3.70320367532
0.0005 0.0295 3.66277211741
0.0005 0.0305 3.62494803064
0.0005 0.0315 3.59363915927
0.0015 -0.0315 3.79903100627
0.0015 -0.0305 3.85380015706
0.0015 -0.0295 3.92671774997
0.0015 -0.0285 4.00361034655
0.0015 -0.0275 4.08179190868
0.0015 -0.0265 4.16136524324
0.0015 -0.0255 4.24230755116
0.0015 -0.0245 4.32516486652
0.0015 -0.0235 4.41067082506
0.0015 -0.0225 4.49935022813
0.0015 -0.0215 4.58842670984
0.0015 -0.0205 4.66777678489
0.0015 -0.0195 4.71945957324
0.0015 -0.0185 4.74675564499
0.0015 -0.0175 4.75196020279
0.0015 -0.0165 4.75976592513
0.0015 -0.0155 4.79856285844
0.0015 -0.0145 4.81595984356
0.0015 -0.0135 4.80843243049
0.0015 -0.0125 4.78875942713
0.0015 -0.0115 4.77271064143
0.0015 -0.0105 4.77820718794
0.0015 -0.0095 4.80447961033
0.0015 -0.0085 4.88452269313
0.0015 -0.0075 4.96726304987
0.0015 -0.0065 4.97367769501
0.0015 -0.0055 4.94504284128
0.0015 -0.0045 4.91008535991
0.0015 -0.0035 4.84330066169
0.0015 -0.0025 4.72251252081
0.0015 -0.0015 4.536877071
0.0015 -0.0005 4.35200861415
0.0015 0.0005 4.29235198708
0.0015 0.0015 4.29381105738
0.0015 0.0025 4.29935976973
0.0015 0.0035 4.30346115847
0.0015 0.0045 4.30970165213
0.0015 0.0055 4.32429375175
0.0015 0.0065 4.36955801909
0.0015 0.0075 4.442094865
0.0015 0.0085 4.50125870757
0.0015 0.0095 4.53260349005
0.0015 0.0105 4.53864316387
0.0015 0.0115 4.52662590075
0.0015 0.0125 4.49831745518
0.0015 0.0135 4.45399179002
0.0015 0.0145 4.40038805124
0.0015 0.0155 4.3414639762
0.0015 0.0165 4.28159356886
0.0015 0.0175 4.22293278422
0.0015 0.0185 4.16660325375
0.0015 0.0195 4.11234375782
0.0015 0.0205 4.06002242034
0.0015 0.0215 4.00903740757
0.0015 0.0225 3.95915598128
0.0015 0.0235 3.91026411252
0.0015 0.0245 3.86220742273
0.0015 0.0255 3.81510236419
0.0015 0.0265 3.76884534278
0.0015 0.0275 3.72344659644
0.0015 0.0285 3.67883789825
0.0015 0.0295 3.63497617312
0.0015 0.0305 3.59344550795
0.0015 0.0315 3.5619999394
0.0025 -0.0315 3.73115518768
0.0025 -0.0305 3.7793018423
0.0025 -0.0295 3.85221966963
0.0025 -0.0285 3.93434407379
0.0025 -0.0275 4.01846683199
0.0025 -0.0265 4.1034569255
0.0025 -0.0255 4.18930625224
0.0025 -0.0245 4.27666666471
0.0025 -0.0235 4.36622939866
0.0025 -0.0225 4.45744310983
0.0025 -0.0215 4.5449157437
0.0025 -0.0205 4.62082827588
0.0025 -0.0195 4.68043835633
0.0025 -0.0185 4.72751461104
0.0025 -0.0175 4.75996342086
0.0025 -0.0165 4.82458027478
0.0025 -0.0155 4.85977115375
0.0025 -0.0145 4.8243130292
0.0025 -0.0135 4.78556625605
0.0025 -0.0125 4.75957328963
0.0025 -0.0115 4.750444225
0.0025 -0.0105 4.75592183175
0.0025 -0.0095 4.77224608581
0.0025 -0.0085 4.81945063766
0.0025 -0.0075 4.86977510658
0.0025 -0.0065 4.87550424816
0.0025 -0.0055 4.85411949431
0.0025 -0.0045 4.83081214578
0.0025 -0.0035 4.78223244856
0.0025 -0.0025 4.68794886022
0.0025 -0.0015 4.53609027079
0.0025 -0.0005 4.37204126025
0.0025 0.0005 4.29980109063
0.0025 0.0015 4.29631066577
0.0025 0.0025 4.30173378056
0.0025 0.0035 4.30668417264
0.0025 0.0045 4.31896788759
0.0025 0.0055 4.3482704116
0.0025 0.0065 4.41625124772
0.0025 0.0075 4.49947685991
0.0025 0.0085 4.55041585648
0.0025 0.0095 4.57168305273
0.0025 0.0105 4.57196579281
0.0025 0.0115 4.5572526169
0.0025 0.0125 4.52607871265
0.0025 0.0135 4.47624077343
0.0025 0.0145 4.414858383
0.0025 0.0155 4.3464157997
0.0025 0.0165 4.27745830317
0.0025 0.0175 4.21161924852
0.0025 0.0185 4.15053272338
0.0025 0.0195 4.09303348996
0.0025 0.0205 4.03841830434
0.0025 0.0215 3.98551176116
0.0025 0.0225 3.9338117165
0.0025 0.0235 3.88303126484
0.0025 0.0245 3.83295612289
0.0025 0.0255 3.78364991292
