% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 20:03
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 1.44439645531e-06
0.0005 -0.0305 2.89827087676e-06
0.0005 -0.0295 3.19618404618e-06
0.0005 -0.0285 3.56996524116e-06
0.0005 -0.0275 3.81588110995e-06
0.0005 -0.0265 3.99735870287e-06
0.0005 -0.0255 4.15362757927e-06
0.0005 -0.0245 4.29052745294e-06
0.0005 -0.0235 4.41898702596e-06
0.0005 -0.0225 4.54086950168e-06
0.0005 -0.0215 4.66163206085e-06
0.0005 -0.0205 4.78312557382e-06
0.0005 -0.0195 4.90286025347e-06
0.0005 -0.0185 5.01603485526e-06
0.0005 -0.0175 5.11280856832e-06
0.0005 -0.0165 5.18960783206e-06
0.0005 -0.0155 5.25322131963e-06
0.0005 -0.0145 5.31759585778e-06
0.0005 -0.0135 5.45692193603e-06
0.0005 -0.0125 5.68507540779e-06
0.0005 -0.0115 6.1306198271e-06
0.0005 -0.0105 7.53129674335e-06
0.0005 -0.0095 1.05981342607e-05
0.0005 -0.0085 1.58215945092e-05
0.0005 -0.0075 2.58770563618e-05
0.0005 -0.0065 4.87228052456e-05
0.0005 -0.0055 9.30297335156e-05
0.0005 -0.0045 0.000249009285393
0.0005 -0.0035 0.000738833798521
0.0005 -0.0025 0.0012735631235
0.0005 -0.0015 0.0223470245744
0.0005 -0.0005 0.047841228938
0.0005 0.0005 0.047978610705
0.0005 0.0015 0.0225456436254
0.0005 0.0025 0.00145939727161
0.0005 0.0035 0.00095473718216
0.0005 0.0045 0.000497647299905
0.0005 0.0055 0.000217817453791
0.0005 0.0065 7.30279295157e-05
0.0005 0.0075 3.53570847033e-05
0.0005 0.0085 3.07896470641e-05
0.0005 0.0095 2.56937928166e-05
0.0005 0.0105 1.71748452578e-05
0.0005 0.0115 1.04128421817e-05
0.0005 0.0125 6.95209641456e-06
0.0005 0.0135 5.63260462943e-06
0.0005 0.0145 5.05230173714e-06
0.0005 0.0155 4.64191391215e-06
0.0005 0.0165 4.39376826225e-06
0.0005 0.0175 4.2101882216e-06
0.0005 0.0185 4.07257050798e-06
0.0005 0.0195 3.95569857851e-06
0.0005 0.0205 3.84673608975e-06
0.0005 0.0215 3.73976120672e-06
0.0005 0.0225 3.63234483611e-06
0.0005 0.0235 3.52390812704e-06
0.0005 0.0245 3.41430855448e-06
0.0005 0.0255 3.30024855762e-06
0.0005 0.0265 3.17618684188e-06
0.0005 0.0275 3.02962023936e-06
0.0005 0.0285 2.85320490965e-06
0.0005 0.0295 2.5591437739e-06
0.0005 0.0305 2.28425706992e-06
0.0005 0.0315 1.12885682513e-06
0.0015 -0.0315 2.82513837165e-06
0.0015 -0.0305 5.64708466196e-06
0.0015 -0.0295 6.0931224633e-06
0.0015 -0.0285 6.52896944921e-06
0.0015 -0.0275 6.71241636349e-06
0.0015 -0.0265 6.83333858422e-06
0.0015 -0.0255 6.93340839899e-06
0.0015 -0.0245 7.02911822966e-06
0.0015 -0.0235 7.12944348601e-06
0.0015 -0.0225 7.23670154899e-06
0.0015 -0.0215 7.35633523256e-06
0.0015 -0.0205 7.49127130968e-06
0.0015 -0.0195 7.64059024021e-06
0.0015 -0.0185 7.80109357398e-06
0.0015 -0.0175 7.96588520394e-06
0.0015 -0.0165 8.13816257273e-06
0.0015 -0.0155 8.34430461433e-06
0.0015 -0.0145 8.65674444787e-06
0.0015 -0.0135 9.27840906949e-06
0.0015 -0.0125 1.05035079741e-05
0.0015 -0.0115 1.30241800224e-05
0.0015 -0.0105 1.84687922916e-05
0.0015 -0.0095 2.87480295736e-05
0.0015 -0.0085 4.46268255562e-05
0.0015 -0.0075 6.81737415193e-05
0.0015 -0.0065 0.000135783178034
0.0015 -0.0055 0.00034204685763
0.0015 -0.0045 0.000863647662708
0.0015 -0.0035 0.00175740300266
0.0015 -0.0025 0.00307906195366
0.0015 -0.0015 0.0242960625774
0.0015 -0.0005 0.0466251900177
0.0015 0.0005 0.0468184343399
0.0015 0.0015 0.0246739246775
0.0015 0.0025 0.00367218940957
0.0015 0.0035 0.00235358622876
0.0015 0.0045 0.00173488703139
0.0015 0.0055 0.000930613738549
0.0015 0.0065 0.000344624817011
0.0015 0.0075 0.000156088473434
0.0015 0.0085 0.000122645530684
0.0015 0.0095 8.83166543019e-05
0.0015 0.0105 4.84782145724e-05
0.0015 0.0115 2.54785638579e-05
0.0015 0.0125 1.45869767179e-05
0.0015 0.0135 1.02587194955e-05
0.0015 0.0145 8.46765886855e-06
0.0015 0.0155 7.50874082948e-06
0.0015 0.0165 6.98294073272e-06
0.0015 0.0175 6.66072275565e-06
0.0015 0.0185 6.44651056397e-06
0.0015 0.0195 6.27845179744e-06
0.0015 0.0205 6.12836240594e-06
0.0015 0.0215 5.98685454533e-06
0.0015 0.0225 5.85286310529e-06
0.0015 0.0235 5.72829776853e-06
0.0015 0.0245 5.61521151646e-06
0.0015 0.0255 5.51165325662e-06
0.0015 0.0265 5.41331311988e-06
0.0015 0.0275 5.30213036712e-06
0.0015 0.0285 5.16822217307e-06
0.0015 0.0295 4.82322462482e-06
0.0015 0.0305 4.4379838338e-06
0.0015 0.0315 2.21177589009e-06
0.0025 -0.0315 2.89116692697e-06
0.0025 -0.0305 5.74542106706e-06
0.0025 -0.0295 6.17971596545e-06
0.0025 -0.0285 6.48391033211e-06
0.0025 -0.0275 6.39789726503e-06
0.0025 -0.0265 6.24650269508e-06
0.0025 -0.0255 6.0747594414e-06
0.0025 -0.0245 5.92388305407e-06
0.0025 -0.0235 5.80120008918e-06
0.0025 -0.0225 5.71180480244e-06
0.0025 -0.0215 5.65877719353e-06
0.0025 -0.0205 5.64662830873e-06
0.0025 -0.0195 5.68123963676e-06
0.0025 -0.0185 5.76979081031e-06
0.0025 -0.0175 5.92288700693e-06
0.0025 -0.0165 6.16152116492e-06
