% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2026, 22:01
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 4.37348937279e-06
0.0005 -0.0305 6.11502162536e-06
0.0005 -0.0295 7.22657018378e-06
0.0005 -0.0285 7.81626330748e-06
0.0005 -0.0275 8.25777324675e-06
0.0005 -0.0265 8.60199358573e-06
0.0005 -0.0255 8.9513914496e-06
0.0005 -0.0245 9.2155993638e-06
0.0005 -0.0235 9.52933964691e-06
0.0005 -0.0225 9.84616432732e-06
0.0005 -0.0215 1.01222741708e-05
0.0005 -0.0205 1.05250276994e-05
0.0005 -0.0195 1.08614776737e-05
0.0005 -0.0185 1.12488052433e-05
0.0005 -0.0175 1.15354921916e-05
0.0005 -0.0165 1.19203062796e-05
0.0005 -0.0155 1.32085925417e-05
0.0005 -0.0145 2.3765294236e-05
0.0005 -0.0135 7.90942262609e-05
0.0005 -0.0125 0.000188515598742
0.0005 -0.0115 0.000172212557266
0.0005 -0.0105 0.000561839403493
0.0005 -0.0095 0.0112051400213
0.0005 -0.0085 0.0436514356721
0.0005 -0.0075 0.0626696529362
0.0005 -0.0065 0.0554678231395
0.0005 -0.0055 0.00381127241748
0.0005 -0.0045 0.0025467127242
0.0005 -0.0035 0.0012883686584
0.0005 -0.0025 0.000351974234791
0.0005 -0.0015 5.03136862142e-05
0.0005 -0.0005 1.38907449627e-05
0.0005 0.0005 5.56625963624e-06
0.0005 0.0015 3.21352481599e-06
0.0005 0.0025 2.5650979425e-06
0.0005 0.0035 2.40965961098e-06
0.0005 0.0045 2.41177123651e-06
0.0005 0.0055 2.46581350126e-06
0.0005 0.0065 2.57796984019e-06
0.0005 0.0075 2.72539467966e-06
0.0005 0.0085 2.8237466537e-06
0.0005 0.0095 2.86260270583e-06
0.0005 0.0105 2.91544151937e-06
0.0005 0.0115 2.92585154452e-06
0.0005 0.0125 2.93520957028e-06
0.0005 0.0135 2.94215436026e-06
0.0005 0.0145 2.93020236567e-06
0.0005 0.0155 2.92821901526e-06
0.0005 0.0165 2.91783436562e-06
0.0005 0.0175 2.90499319682e-06
0.0005 0.0185 2.88535732976e-06
0.0005 0.0195 2.87289029329e-06
0.0005 0.0205 2.82697651924e-06
0.0005 0.0215 2.80943851439e-06
0.0005 0.0225 2.76455993175e-06
0.0005 0.0235 2.70154193001e-06
0.0005 0.0245 2.64537098438e-06
0.0005 0.0255 2.56661137086e-06
0.0005 0.0265 2.47104214857e-06
0.0005 0.0275 2.34920296007e-06
0.0005 0.0285 2.20183638728e-06
0.0005 0.0295 2.01790349066e-06
0.0005 0.0305 1.8544987762e-06
0.0005 0.0315 1.44688280517e-06
0.0015 -0.0315 5.87781014928e-06
0.0015 -0.0305 7.12576895659e-06
0.0015 -0.0295 7.40517701899e-06
0.0015 -0.0285 7.3051387575e-06
0.0015 -0.0275 7.23412744717e-06
0.0015 -0.0265 7.24332592011e-06
0.0015 -0.0255 7.31855905631e-06
0.0015 -0.0245 7.43750164508e-06
0.0015 -0.0235 7.59120868197e-06
0.0015 -0.0225 7.77661981796e-06
0.0015 -0.0215 7.98679935549e-06
0.0015 -0.0205 8.22250916429e-06
0.0015 -0.0195 8.45957547797e-06
0.0015 -0.0185 8.72203608826e-06
0.0015 -0.0175 9.01071950054e-06
0.0015 -0.0165 9.5163361236e-06
0.0015 -0.0155 1.17245292333e-05
0.0015 -0.0145 2.25762459247e-05
0.0015 -0.0135 6.3308462124e-05
0.0015 -0.0125 0.000125624748052
0.0015 -0.0115 0.000319755922824
0.0015 -0.0105 0.000752127909944
0.0015 -0.0095 0.00667272169523
0.0015 -0.0085 0.0345681386145
0.0015 -0.0075 0.0591871974567
0.0015 -0.0065 0.0617959675323
0.0015 -0.0055 0.0228537083792
0.0015 -0.0045 0.00276504679698
0.0015 -0.0035 0.00377851461331
0.0015 -0.0025 0.00162500462606
0.0015 -0.0015 0.000317517714478
0.0015 -0.0005 6.74755089125e-05
0.0015 0.0005 1.86140351599e-05
0.0015 0.0015 8.2808793512e-06
0.0015 0.0025 5.33164255838e-06
0.0015 0.0035 4.29133043472e-06
0.0015 0.0045 3.76893426484e-06
0.0015 0.0055 3.39706791856e-06
0.0015 0.0065 3.13124511257e-06
0.0015 0.0075 2.94244730213e-06
0.0015 0.0085 2.8098981569e-06
0.0015 0.0095 2.72069856861e-06
0.0015 0.0105 2.65487871272e-06
0.0015 0.0115 2.60803054703e-06
0.0015 0.0125 2.57277407534e-06
0.0015 0.0135 2.54704772893e-06
0.0015 0.0145 2.52853577027e-06
0.0015 0.0155 2.51423651839e-06
0.0015 0.0165 2.50237283176e-06
0.0015 0.0175 2.49247967957e-06
0.0015 0.0185 2.48367128108e-06
0.0015 0.0195 2.47402377444e-06
0.0015 0.0205 2.46614518804e-06
0.0015 0.0215 2.45764552053e-06
0.0015 0.0225 2.45095095977e-06
0.0015 0.0235 2.44547059699e-06
0.0015 0.0245 2.44358415626e-06
0.0015 0.0255 2.44939216713e-06
0.0015 0.0265 2.46412250542e-06
0.0015 0.0275 2.49282850899e-06
0.0015 0.0285 2.53573992806e-06
0.0015 0.0295 2.57397839351e-06
0.0015 0.0305 2.45056357016e-06
0.0015 0.0315 1.87311855409e-06
0.0025 -0.0315 6.80734648401e-06
0.0025 -0.0305 7.27319196556e-06
0.0025 -0.0295 8.0062866823e-06
0.0025 -0.0285 8.0654457296e-06
0.0025 -0.0275 7.96692200084e-06
0.0025 -0.0265 7.8993386036e-06
0.0025 -0.0255 7.90126170349e-06
0.0025 -0.0245 7.96550263605e-06
0.0025 -0.0235 8.08549580789e-06
0.0025 -0.0225 8.24635853243e-06
0.0025 -0.0215 8.4474729912e-06
0.0025 -0.0205 8.68431200184e-06
0.0025 -0.0195 8.96161517079e-06
0.0025 -0.0185 9.29962629726e-06
0.0025 -0.0175 9.74164297977e-06
0.0025 -0.0165 1.04959992557e-05
0.0025 -0.0155 1.24897352008e-05
0.0025 -0.0145 1.93614680641e-05
0.0025 -0.0135 3.89505238804e-05
