% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 26 2026, 01:14
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 7.2798109897e-07
0.0005 -0.0305 9.03527171272e-07
0.0005 -0.0295 9.33226824798e-07
0.0005 -0.0285 9.49891728275e-07
0.0005 -0.0275 9.7817012347e-07
0.0005 -0.0265 1.01128729374e-06
0.0005 -0.0255 1.04359259382e-06
0.0005 -0.0245 1.07023657891e-06
0.0005 -0.0235 1.08717816043e-06
0.0005 -0.0225 1.10164064857e-06
0.0005 -0.0215 1.12178625335e-06
0.0005 -0.0205 1.16402293338e-06
0.0005 -0.0195 1.25026471122e-06
0.0005 -0.0185 1.44215864158e-06
0.0005 -0.0175 1.89648818091e-06
0.0005 -0.0165 3.36687116653e-06
0.0005 -0.0155 8.6882077272e-06
0.0005 -0.0145 3.13613441771e-05
0.0005 -0.0135 0.000149283145457
0.0005 -0.0125 0.000505383241785
0.0005 -0.0115 0.00156337326498
0.0005 -0.0105 0.00275231784147
0.0005 -0.0095 0.0555767340929
0.0005 -0.0085 0.134147506678
0.0005 -0.0075 0.142630965757
0.0005 -0.0065 0.079232867531
0.0005 -0.0055 0.00240156252653
0.0005 -0.0045 0.00343542363442
0.0005 -0.0035 0.010300253879
0.0005 -0.0025 0.0196942143289
0.0005 -0.0015 0.0271036662219
0.0005 -0.0005 0.0306993520351
0.0005 0.0005 0.0292720889035
0.0005 0.0015 0.0221329965935
0.0005 0.0025 0.0110174997798
0.0005 0.0035 0.00595863773851
0.0005 0.0045 0.0102395663314
0.0005 0.0055 0.0134872630328
0.0005 0.0065 0.0118253441473
0.0005 0.0075 0.00698711937866
0.0005 0.0085 0.00237856521308
0.0005 0.0095 0.000706520509342
0.0005 0.0105 0.00061762976572
0.0005 0.0115 0.00039472938755
0.0005 0.0125 0.000127846742387
0.0005 0.0135 3.53515466279e-05
0.0005 0.0145 1.68831751875e-05
0.0005 0.0155 1.4449447813e-05
0.0005 0.0165 1.30808791814e-05
0.0005 0.0175 1.16631602901e-05
0.0005 0.0185 1.04624718449e-05
0.0005 0.0195 9.40504239901e-06
0.0005 0.0205 8.52573412344e-06
0.0005 0.0215 7.80335033037e-06
0.0005 0.0225 7.18355384644e-06
0.0005 0.0235 6.6635945059e-06
0.0005 0.0245 6.20638334019e-06
0.0005 0.0255 5.79211915252e-06
0.0005 0.0265 5.39295475012e-06
0.0005 0.0275 5.00991675609e-06
0.0005 0.0285 4.57046200333e-06
0.0005 0.0295 4.11953855759e-06
0.0005 0.0305 3.81496683718e-06
0.0005 0.0315 2.9787414984e-06
0.0015 -0.0315 9.71983498298e-07
0.0015 -0.0305 1.26595865463e-06
0.0015 -0.0295 1.29523396828e-06
0.0015 -0.0285 1.33897342813e-06
0.0015 -0.0275 1.51764251256e-06
0.0015 -0.0265 1.77230964788e-06
0.0015 -0.0255 2.0388238516e-06
0.0015 -0.0245 2.27942645324e-06
0.0015 -0.0235 2.4726291341e-06
0.0015 -0.0225 2.63243523414e-06
0.0015 -0.0215 2.77522796111e-06
0.0015 -0.0205 2.94282829435e-06
0.0015 -0.0195 3.20613571494e-06
0.0015 -0.0185 3.85083638438e-06
0.0015 -0.0175 5.64472535302e-06
0.0015 -0.0165 1.2040003329e-05
0.0015 -0.0155 3.51443622354e-05
0.0015 -0.0145 0.000134859382998
0.0015 -0.0135 0.00057357660562
0.0015 -0.0125 0.0014806915363
0.0015 -0.0115 0.00302235110901
0.0015 -0.0105 0.00271497672752
0.0015 -0.0095 0.0522116253247
0.0015 -0.0085 0.131753944431
0.0015 -0.0075 0.142903312661
0.0015 -0.0065 0.083640100338
0.0015 -0.0055 0.00656637400306
0.0015 -0.0045 0.0146952375344
0.0015 -0.0035 0.024659257012
0.0015 -0.0025 0.0285914284284
0.0015 -0.0015 0.0268159140669
0.0015 -0.0005 0.020770692514
0.0015 0.0005 0.0141896894134
0.0015 0.0015 0.0156143778202
0.0015 0.0025 0.0259572996198
0.0015 0.0035 0.0341367626926
0.0015 0.0045 0.0379996626327
0.0015 0.0055 0.0389332723471
0.0015 0.0065 0.0357149952534
0.0015 0.0075 0.0278519997751
0.0015 0.0085 0.0161648016341
0.0015 0.0095 0.00570101424784
0.0015 0.0105 0.00138675245621
0.0015 0.0115 0.000587952152934
0.0015 0.0125 0.000165479328654
0.0015 0.0135 4.78364410717e-05
0.0015 0.0145 2.28834457855e-05
0.0015 0.0155 1.74899921405e-05
0.0015 0.0165 1.54401878106e-05
0.0015 0.0175 1.3682051313e-05
0.0015 0.0185 1.20664272596e-05
0.0015 0.0195 1.06337014048e-05
0.0015 0.0205 9.41920401277e-06
0.0015 0.0215 8.42920702464e-06
0.0015 0.0225 7.61852133386e-06
0.0015 0.0235 6.97948446668e-06
0.0015 0.0245 6.46474984767e-06
0.0015 0.0255 6.0678611516e-06
0.0015 0.0265 5.77139039589e-06
0.0015 0.0275 5.57109484045e-06
0.0015 0.0285 5.45226736545e-06
0.0015 0.0295 5.37485879773e-06
0.0015 0.0305 5.04184366919e-06
0.0015 0.0315 3.84519659826e-06
0.0025 -0.0315 1.11508312756e-06
0.0025 -0.0305 1.60290747157e-06
0.0025 -0.0295 1.89140788743e-06
0.0025 -0.0285 2.06436861043e-06
0.0025 -0.0275 2.35463013825e-06
0.0025 -0.0265 2.7348102302e-06
0.0025 -0.0255 3.13440024316e-06
0.0025 -0.0245 3.49698340236e-06
0.0025 -0.0235 3.77843192232e-06
0.0025 -0.0225 3.98776612483e-06
0.0025 -0.0215 4.13490018481e-06
0.0025 -0.0205 4.29854349914e-06
0.0025 -0.0195 4.68477890666e-06
0.0025 -0.0185 6.24802333e-06
0.0025 -0.0175 1.17084152537e-05
0.0025 -0.0165 3.539651588e-05
0.0025 -0.0155 0.000147463816558
0.0025 -0.0145 0.000665155325821
0.0025 -0.0135 0.00156485447561
0.0025 -0.0125 0.0020349180923
0.0025 -0.0115 0.00319456783347
0.0025 -0.0105 0.00183626817261
0.0025 -0.0095 0.0484920942121
0.0025 -0.0085 0.128516381922
0.0025 -0.0075 0.143019252396
0.0025 -0.0065 0.0895823886252
0.0025 -0.0055 0.0147663683092
0.0025 -0.0045 0.0191427183992
0.0025 -0.0035 0.0213968715363
0.0025 -0.0025 0.0129977528414
0.0025 -0.0015 0.00398593386547
0.0025 -0.0005 0.00956097102832
0.0025 0.0005 0.0247721881718
0.0025 0.0015 0.0447817247254
0.0025 0.0025 0.0554964084232
0.0025 0.0035 0.0574180126571
0.0025 0.0045 0.054755313485
0.0025 0.0055 0.0520340585191
0.0025 0.0065 0.0491463260171
0.0025 0.0075 0.0443355933206
0.0025 0.0085 0.0341833153273
0.0025 0.0095 0.0167005098539
0.0025 0.0105 0.00327138702969
0.0025 0.0115 0.000724688342821
0.0025 0.0125 0.000170863372309
0.0025 0.0135 5.72388426893e-05
0.0025 0.0145 2.92614987311e-05
0.0025 0.0155 2.16933781376e-05
0.0025 0.0165 1.85941766042e-05
0.0025 0.0175 1.62925949332e-05
0.0025 0.0185 1.43068247092e-05
0.0025 0.0195 1.25655376613e-05
0.0025 0.0205 1.10889478444e-05
0.0025 0.0215 9.87526979275e-06
0.0025 0.0225 8.87742799816e-06
0.0025 0.0235 8.09637063574e-06
0.0025 0.0245 7.4781272641e-06
0.0025 0.0255 7.02088780815e-06
0.0025 0.0265 6.70307826016e-06
0.0025 0.0275 6.50170569922e-06
0.0025 0.0285 6.36572472201e-06
0.0025 0.0295 6.12177909352e-06
0.0025 0.0305 5.2401247206e-06
0.0025 0.0315 4.07300278044e-06
0.0035 -0.0315 1.30415588666e-06
0.0035 -0.0305 2.04515599942e-06
0.0035 -0.0295 2.60887598672e-06
0.0035 -0.0285 2.97195674972e-06
0.0035 -0.0275 3.36142086422e-06
0.0035 -0.0265 3.80504721838e-06
0.0035 -0.0255 4.27071378309e-06
0.0035 -0.0245 4.69950116777e-06
0.0035 -0.0235 5.0209575645e-06
0.0035 -0.0225 5.22831771114e-06
0.0035 -0.0215 5.31366860055e-06
0.0035 -0.0205 5.41941500259e-06
0.0035 -0.0195 6.03294017932e-06
0.0035 -0.0185 9.75771971254e-06
0.0035 -0.0175 2.53548435588e-05
0.0035 -0.0165 0.000133930640628
0.0035 -0.0155 0.000704461643153
0.0035 -0.0145 0.00172901277679
0.0035 -0.0135 0.00163056421371
0.0035 -0.0125 0.00112382737352
0.0035 -0.0115 0.00297232434063
0.0035 -0.0105 0.000739275394763
0.0035 -0.0095 0.0440910669531
0.0035 -0.0085 0.124112860263
0.0035 -0.0075 0.142729540251
0.0035 -0.0065 0.0969546686132
0.0035 -0.0055 0.0221472585279
0.0035 -0.0045 0.0181523312537
0.0035 -0.0035 0.0139606793796
0.0035 -0.0025 0.0060836266713
0.0035 -0.0015 0.0147537133213
0.0035 -0.0005 0.0306499862991
0.0035 0.0005 0.0540633002489
0.0035 0.0015 0.0684530646357
0.0035 0.0025 0.0677687375148
0.0035 0.0035 0.0594802399366
0.0035 0.0045 0.0503820672436
0.0035 0.0055 0.0464587391746
0.0035 0.0065 0.0476963127497
0.0035 0.0075 0.0490096327334
0.0035 0.0085 0.0456030077556
0.0035 0.0095 0.0306301782449
0.0035 0.0105 0.00789769406245
0.0035 0.0115 0.00117473206536
0.0035 0.0125 0.000199340345383
0.0035 0.0135 6.48439696991e-05
0.0035 0.0145 3.35484694714e-05
0.0035 0.0155 2.45247851898e-05
0.0035 0.0165 2.05967846885e-05
0.0035 0.0175 1.78404315223e-05
0.0035 0.0185 1.56361021202e-05
0.0035 0.0195 1.37521786054e-05
0.0035 0.0205 1.21532735777e-05
0.0035 0.0215 1.08191864996e-05
0.0035 0.0225 9.70656980837e-06
0.0035 0.0235 8.82464582234e-06
0.0035 0.0245 8.12266641799e-06
0.0035 0.0255 7.5976817959e-06
0.0035 0.0265 7.21289473237e-06
0.0035 0.0275 6.91929943148e-06
0.0035 0.0285 6.60396154332e-06
0.0035 0.0295 6.0789908675e-06
0.0035 0.0305 5.06814092257e-06
0.0035 0.0315 4.20016652922e-06
0.0045 -0.0315 1.55895186541e-06
0.0045 -0.0305 2.63667243022e-06
0.0045 -0.0295 3.47960694148e-06
0.0045 -0.0285 4.02985398635e-06
0.0045 -0.0275 4.51718270148e-06
0.0045 -0.0265 4.9970387748e-06
0.0045 -0.0255 5.48823232447e-06
0.0045 -0.0245 5.94644022728e-06
0.0045 -0.0235 6.28102816809e-06
0.0045 -0.0225 6.46736683642e-06
0.0045 -0.0215 6.4749557268e-06
0.0045 -0.0205 6.54716489249e-06
0.0045 -0.0195 7.62141661352e-06
0.0045 -0.0185 1.52164859027e-05
0.0045 -0.0175 5.37142465443e-05
0.0045 -0.0165 0.000395221148159
0.0045 -0.0155 0.00160169091822
0.0045 -0.0145 0.00162858003424
0.0045 -0.0135 0.000593447745678
0.0045 -0.0125 0.000471406561957
0.0045 -0.0115 0.00277721621404
0.0045 -0.0105 0.00138497927395
