% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 19 2026, 12:46
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.40929617879e-06
0.0005 -0.0305 9.90028001696e-06
0.0005 -0.0295 2.46952854531e-05
0.0005 -0.0285 7.26240444592e-05
0.0005 -0.0275 0.00043707691524
0.0005 -0.0265 0.00181983971776
0.0005 -0.0255 0.00579633457594
0.0005 -0.0245 0.0127928291776
0.0005 -0.0235 0.0217550446808
0.0005 -0.0225 0.0301970557383
0.0005 -0.0215 0.035709818063
0.0005 -0.0205 0.0243019937297
0.0005 -0.0195 0.00585076416804
0.0005 -0.0185 0.00101165885454
0.0005 -0.0175 0.00125516849474
0.0005 -0.0165 0.0011965005505
0.0005 -0.0155 0.000934196392475
0.0005 -0.0145 0.000588729968088
0.0005 -0.0135 0.000295261095541
0.0005 -0.0125 0.000120836990092
0.0005 -0.0115 4.07771197401e-05
0.0005 -0.0105 1.49475630227e-05
0.0005 -0.0095 9.26829257931e-06
0.0005 -0.0085 7.05294808476e-06
0.0005 -0.0075 5.76342401272e-06
0.0005 -0.0065 4.6747047845e-06
0.0005 -0.0055 3.87057864483e-06
0.0005 -0.0045 3.41217054369e-06
0.0005 -0.0035 3.24425067231e-06
0.0005 -0.0025 3.23567976722e-06
0.0005 -0.0015 3.29912460604e-06
0.0005 -0.0005 3.37132465612e-06
0.0005 0.0005 3.40908804088e-06
0.0005 0.0015 3.45371043665e-06
0.0005 0.0025 3.51175795456e-06
0.0005 0.0035 3.5588973255e-06
0.0005 0.0045 3.58909283745e-06
0.0005 0.0055 3.60402306007e-06
0.0005 0.0065 3.61102551808e-06
0.0005 0.0075 3.58217909359e-06
0.0005 0.0085 3.52993006813e-06
0.0005 0.0095 3.47623978699e-06
0.0005 0.0105 3.4139307059e-06
0.0005 0.0115 3.35735185875e-06
0.0005 0.0125 3.30060852595e-06
0.0005 0.0135 3.24366391855e-06
0.0005 0.0145 3.20013524601e-06
0.0005 0.0155 3.15007933115e-06
0.0005 0.0165 3.10830526593e-06
0.0005 0.0175 3.07900744778e-06
0.0005 0.0185 3.02836239128e-06
0.0005 0.0195 2.98736080483e-06
0.0005 0.0205 2.95558679652e-06
0.0005 0.0215 2.89185677129e-06
0.0005 0.0225 2.83688169952e-06
0.0005 0.0235 2.78733236688e-06
0.0005 0.0245 2.71233427634e-06
0.0005 0.0255 2.63018687303e-06
0.0005 0.0265 2.54006983793e-06
0.0005 0.0275 2.43193643772e-06
0.0005 0.0285 2.28446812866e-06
0.0005 0.0295 2.06225994142e-06
0.0005 0.0305 1.88623809324e-06
0.0005 0.0315 9.42567603719e-07
0.0015 -0.0315 7.06053332975e-06
0.0015 -0.0305 1.94277853969e-05
0.0015 -0.0295 4.40173236458e-05
0.0015 -0.0285 0.000117411901685
0.0015 -0.0275 0.000328586441851
0.0015 -0.0265 0.0011646125469
0.0015 -0.0255 0.00396429500967
0.0015 -0.0245 0.0100021538338
0.0015 -0.0235 0.0188194238185
0.0015 -0.0225 0.0281809898244
0.0015 -0.0215 0.0352602281498
0.0015 -0.0205 0.0323416500033
0.0015 -0.0195 0.0173594188166
0.0015 -0.0185 0.00410453500439
0.0015 -0.0175 0.00199558508616
0.0015 -0.0165 0.00251834697752
0.0015 -0.0155 0.00231393761012
0.0015 -0.0145 0.00171903103105
0.0015 -0.0135 0.000979369847334
0.0015 -0.0125 0.000430117059762
0.0015 -0.0115 0.000163842195054
0.0015 -0.0105 6.45594866187e-05
0.0015 -0.0095 3.47754216209e-05
0.0015 -0.0085 2.49920326185e-05
0.0015 -0.0075 1.8613842214e-05
0.0015 -0.0065 1.3973958508e-05
0.0015 -0.0055 1.059423672e-05
0.0015 -0.0045 8.2137411636e-06
0.0015 -0.0035 6.83927707845e-06
0.0015 -0.0025 6.15665023219e-06
0.0015 -0.0015 5.84893108711e-06
0.0015 -0.0005 5.70839169827e-06
0.0015 0.0005 5.6209698351e-06
0.0015 0.0015 5.59198987757e-06
0.0015 0.0025 5.61147361949e-06
0.0015 0.0035 5.64229576866e-06
0.0015 0.0045 5.66547400584e-06
0.0015 0.0055 5.6728674375e-06
0.0015 0.0065 5.66276486325e-06
0.0015 0.0075 5.60628384328e-06
0.0015 0.0085 5.51684898425e-06
0.0015 0.0095 5.42095000881e-06
0.0015 0.0105 5.31902907128e-06
0.0015 0.0115 5.22773771635e-06
0.0015 0.0125 5.14377956914e-06
