% Model:              Benchmark260518细网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 26 2026, 15:40
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 3.7770317124e-06
0.0005 -0.0305 4.96518087096e-06
0.0005 -0.0295 5.84428645887e-06
0.0005 -0.0285 6.34983479686e-06
0.0005 -0.0275 6.79157200636e-06
0.0005 -0.0265 7.12543439724e-06
0.0005 -0.0255 7.39607959116e-06
0.0005 -0.0245 7.58883138373e-06
0.0005 -0.0235 7.74841748136e-06
0.0005 -0.0225 7.78742498129e-06
0.0005 -0.0215 7.80134062154e-06
0.0005 -0.0205 7.61947185975e-06
0.0005 -0.0195 7.48811053326e-06
0.0005 -0.0185 7.06857901711e-06
0.0005 -0.0175 6.86021540725e-06
0.0005 -0.0165 7.4448062888e-06
0.0005 -0.0155 7.70548300453e-06
0.0005 -0.0145 8.60810145879e-06
0.0005 -0.0135 1.79255477055e-05
0.0005 -0.0125 7.55821344112e-05
0.0005 -0.0115 0.000320181130102
0.0005 -0.0105 0.00103559862029
0.0005 -0.0095 0.00188155524382
0.0005 -0.0085 0.00294742683864
0.0005 -0.0075 0.0318156495142
0.0005 -0.0065 0.0355867946178
0.0005 -0.0055 0.0298867587828
0.0005 -0.0045 0.0216153990645
0.0005 -0.0035 0.0111342754313
0.0005 -0.0025 0.00199111147767
0.0005 -0.0015 0.000295698312705
0.0005 -0.0005 6.51993201265e-05
0.0005 0.0005 0.000113621955492
0.0005 0.0015 0.00109938906329
0.0005 0.0025 0.00752894304488
0.0005 0.0035 0.0210503743629
0.0005 0.0045 0.0335644521443
0.0005 0.0055 0.0439590369755
0.0005 0.0065 0.04647868391
0.0005 0.0075 0.0341512532494
0.0005 0.0085 0.0022967605023
0.0005 0.0095 0.00157787134107
0.0005 0.0105 0.000520669848596
0.0005 0.0115 0.000118349828429
0.0005 0.0125 2.15381740527e-05
0.0005 0.0135 7.70798081564e-06
0.0005 0.0145 4.99280994033e-06
0.0005 0.0155 4.74879310216e-06
0.0005 0.0165 4.89243380655e-06
0.0005 0.0175 5.15178243278e-06
0.0005 0.0185 5.93423252714e-06
0.0005 0.0195 6.46335922895e-06
0.0005 0.0205 6.69820022676e-06
0.0005 0.0215 6.91058987041e-06
0.0005 0.0225 7.01289870711e-06
0.0005 0.0235 6.99019210938e-06
0.0005 0.0245 6.85906668096e-06
0.0005 0.0255 6.68481318002e-06
0.0005 0.0265 6.42061263691e-06
0.0005 0.0275 6.09131268711e-06
0.0005 0.0285 5.72138958578e-06
0.0005 0.0295 5.17668262811e-06
0.0005 0.0305 4.49452864181e-06
0.0005 0.0315 3.45441292036e-06
0.0015 -0.0315 4.88086702597e-06
0.0015 -0.0305 6.41704739822e-06
0.0015 -0.0295 6.79524983755e-06
0.0015 -0.0285 6.69726483544e-06
0.0015 -0.0275 6.55934094056e-06
0.0015 -0.0265 6.46038503723e-06
0.0015 -0.0255 6.38696963748e-06
0.0015 -0.0245 6.34019942078e-06
0.0015 -0.0235 6.3249122913e-06
0.0015 -0.0225 6.38564597725e-06
0.0015 -0.0215 6.58830372286e-06
0.0015 -0.0205 7.08986843117e-06
0.0015 -0.0195 8.29198612149e-06
0.0015 -0.0185 1.12392745872e-05
0.0015 -0.0175 1.68692783811e-05
0.0015 -0.0165 2.53195331605e-05
0.0015 -0.0155 3.43775219336e-05
0.0015 -0.0145 4.04595770196e-05
0.0015 -0.0135 6.92906319838e-05
0.0015 -0.0125 0.000232578755848
0.0015 -0.0115 0.00104458235383
0.0015 -0.0105 0.00235973062145
0.0015 -0.0095 0.00135752795537
0.0015 -0.0085 0.0139566059273
0.0015 -0.0075 0.0360777812283
0.0015 -0.0065 0.0357309899646
0.0015 -0.0055 0.0284214352208
0.0015 -0.0045 0.0173962505957
0.0015 -0.0035 0.00553750201663
0.0015 -0.0025 0.000914643571104
0.0015 -0.0015 0.000218437426161
0.0015 -0.0005 6.27759123673e-05
0.0015 0.0005 8.97682032445e-05
0.0015 0.0015 0.000596440054971
0.0015 0.0025 0.00412592386776
0.0015 0.0035 0.0172225245072
0.0015 0.0045 0.0317334196685
0.0015 0.0055 0.0431247592278
0.0015 0.0065 0.0474680950608
0.0015 0.0075 0.039573137461
0.0015 0.0085 0.00901905512353
0.0015 0.0095 0.00224851297367
0.0015 0.0105 0.00150508988658
0.0015 0.0115 0.000340856169728
0.0015 0.0125 6.45659616699e-05
0.0015 0.0135 2.66302476868e-05
0.0015 0.0145 1.86162951637e-05
0.0015 0.0155 1.5971608831e-05
0.0015 0.0165 1.32182751544e-05
0.0015 0.0175 1.07223734493e-05
0.0015 0.0185 8.76140803557e-06
0.0015 0.0195 7.41804358388e-06
0.0015 0.0205 6.64414419191e-06
0.0015 0.0215 6.25533780558e-06
0.0015 0.0225 6.09409647766e-06
0.0015 0.0235 6.047055601e-06
0.0015 0.0245 6.05609511928e-06
0.0015 0.0255 6.07083448265e-06
0.0015 0.0265 6.0934220635e-06
0.0015 0.0275 6.13081746699e-06
0.0015 0.0285 6.19890332029e-06
0.0015 0.0295 6.23534160661e-06
0.0015 0.0305 5.86219048506e-06
0.0015 0.0315 4.46187445326e-06
0.0025 -0.0315 5.18132443964e-06
0.0025 -0.0305 6.69011645417e-06
0.0025 -0.0295 7.70820752157e-06
0.0025 -0.0285 7.77289188512e-06
0.0025 -0.0275 7.59150136888e-06
0.0025 -0.0265 7.37843668542e-06
0.0025 -0.0255 7.20316574227e-06
0.0025 -0.0245 7.08819240121e-06
0.0025 -0.0235 7.06354984754e-06
0.0025 -0.0225 7.18496998874e-06
0.0025 -0.0215 7.60007158041e-06
0.0025 -0.0205 8.71089209515e-06
0.0025 -0.0195 1.19086053952e-05
0.0025 -0.0185 2.16717634126e-05
0.0025 -0.0175 4.27268678812e-05
0.0025 -0.0165 6.57537018462e-05
0.0025 -0.0155 0.00011162487263
0.0025 -0.0145 0.000181839195552
0.0025 -0.0135 0.000343766330772
0.0025 -0.0125 0.000870262453204
0.0025 -0.0115 0.00224594423732
0.0025 -0.0105 0.00227771561637
0.0025 -0.0095 0.00655919462791
0.0025 -0.0085 0.0260090977566
0.0025 -0.0075 0.037763876716
0.0025 -0.0065 0.0339610291715
0.0025 -0.0055 0.0245671592437
0.0025 -0.0045 0.0116800284853
0.0025 -0.0035 0.00271576544604
0.0025 -0.0025 0.000436291580165
0.0025 -0.0015 0.000100674163739
0.0025 -0.0005 3.65994003874e-05
0.0025 0.0005 5.3771424111e-05
0.0025 0.0015 0.000333678090538
0.0025 0.0025 0.00225103800042
0.0025 0.0035 0.0123938402172
0.0025 0.0045 0.0281953581979
0.0025 0.0055 0.0411966077682
0.0025 0.0065 0.0474553635948
0.0025 0.0075 0.0439776447097
0.0025 0.0085 0.0192768224712
0.0025 0.0095 0.000346005172803
0.0025 0.0105 0.00265754183928
0.0025 0.0115 0.000794975228748
0.0025 0.0125 0.000157967936683
0.0025 0.0135 8.72134487872e-05
0.0025 0.0145 6.19920905536e-05
0.0025 0.0155 4.45668239924e-05
0.0025 0.0165 3.24270064432e-05
0.0025 0.0175 2.36252452414e-05
0.0025 0.0185 1.48243045829e-05
0.0025 0.0195 1.01071740855e-05
0.0025 0.0205 8.28825136565e-06
0.0025 0.0215 7.52554073768e-06
0.0025 0.0225 7.17361145981e-06
0.0025 0.0235 7.01393621154e-06
0.0025 0.0245 6.96630177841e-06
0.0025 0.0255 6.98398941386e-06
0.0025 0.0265 7.04867236938e-06
0.0025 0.0275 7.14380215127e-06
0.0025 0.0285 7.21444751277e-06
0.0025 0.0295 7.0758714632e-06
0.0025 0.0305 6.10325250826e-06
0.0025 0.0315 4.72920174048e-06
0.0035 -0.0315 5.36908281081e-06
0.0035 -0.0305 6.58454555286e-06
0.0035 -0.0295 7.85064593102e-06
0.0035 -0.0285 8.33027193741e-06
0.0035 -0.0275 8.40629921591e-06
0.0035 -0.0265 8.3041445387e-06
0.0035 -0.0255 8.18188952726e-06
0.0035 -0.0245 8.10738742918e-06
0.0035 -0.0235 8.14540577389e-06
0.0035 -0.0225 8.38547561737e-06
0.0035 -0.0215 9.18456988317e-06
0.0035 -0.0205 1.17223554947e-05
0.0035 -0.0195 1.99865893483e-05
0.0035 -0.0185 4.91263370451e-05
0.0035 -0.0175 0.000141041618522
0.0035 -0.0165 0.000266097019796
0.0035 -0.0155 0.000361515836609
0.0035 -0.0145 0.000988570922762
0.0035 -0.0135 0.00196040359187
0.0035 -0.0125 0.00270782740475
0.0035 -0.0115 0.00234359092514
0.0035 -0.0105 0.00250449876365
0.0035 -0.0095 0.0178304031662
0.0035 -0.0085 0.0335502000823
0.0035 -0.0075 0.0369331599076
0.0035 -0.0065 0.0300759787537
0.0035 -0.0055 0.0186553544201
0.0035 -0.0045 0.00679945108628
0.0035 -0.0035 0.00127787084193
0.0035 -0.0025 0.000202717658178
0.0035 -0.0015 4.50725585845e-05
0.0035 -0.0005 1.81100282795e-05
0.0035 0.0005 2.99209465644e-05
0.0035 0.0015 0.000186339202077
0.0035 0.0025 0.0012448384685
0.0035 0.0035 0.00801242485728
0.0035 0.0045 0.0230597415977
0.0035 0.0055 0.0379271686571
0.0035 0.0065 0.0464514483441
0.0035 0.0075 0.0464814780789
0.0035 0.0085 0.029196912208
0.0035 0.0095 0.00614226316528
0.0035 0.0105 0.00280253135287
0.0035 0.0115 0.00189432560911
0.0035 0.0125 0.00104601811798
0.0035 0.0135 0.000715876825232
0.0035 0.0145 0.000398546682274
0.0035 0.0155 0.000142020798843
0.0035 0.0165 9.26869729859e-05
0.0035 0.0175 6.3213654325e-05
0.0035 0.0185 3.08259928244e-05
0.0035 0.0195 1.57701596465e-05
0.0035 0.0205 1.0967700824e-05
0.0035 0.0215 9.33760829446e-06
0.0035 0.0225 8.64740583148e-06
0.0035 0.0235 8.27224510686e-06
0.0035 0.0245 8.06222615709e-06
0.0035 0.0255 7.96162244489e-06
0.0035 0.0265 7.91526230674e-06
0.0035 0.0275 7.86456546866e-06
0.0035 0.0285 7.67628647405e-06
0.0035 0.0295 7.15151727065e-06
0.0035 0.0305 5.9650078797e-06
0.0035 0.0315 4.88383364269e-06
0.0045 -0.0315 5.53496189135e-06
0.0045 -0.0305 6.49471945603e-06
0.0045 -0.0295 7.78781612931e-06
0.0045 -0.0285 8.54940349024e-06
0.0045 -0.0275 8.94784913381e-06
0.0045 -0.0265 9.08935310836e-06
0.0045 -0.0255 9.13584053001e-06
0.0045 -0.0245 9.18395916226e-06
0.0045 -0.0235 9.34449779342e-06
0.0045 -0.0225 9.81442406458e-06
0.0045 -0.0215 1.15630416604e-05
0.0045 -0.0205 1.79782469968e-05
0.0045 -0.0195 4.078190898e-05
0.0045 -0.0185 0.000140414152256
0.0045 -0.0175 0.000607562203121
0.0045 -0.0165 0.00171237284796
0.0045 -0.0155 0.00247571284842
0.0045 -0.0145 0.00263603110898
0.0045 -0.0135 0.00246632285532
0.0045 -0.0125 0.00196469158588
0.0045 -0.0115 0.0019223864421
0.0045 -0.0105 0.0126627950545
0.0045 -0.0095 0.0282003565377
0.0045 -0.0085 0.0364453556267
0.0045 -0.0075 0.0340237691049
0.0045 -0.0065 0.0244241849935
0.0045 -0.0055 0.012134381141
0.0045 -0.0045 0.00324524582742
0.0045 -0.0035 0.000505816512876
0.0045 -0.0025 7.9119902382e-05
0.0045 -0.0015 2.12927848726e-05
0.0045 -0.0005 9.73749612651e-06
0.0045 0.0005 1.68412518688e-05
0.0045 0.0015 9.69703819022e-05
0.0045 0.0025 0.000629556517581
0.0045 0.0035 0.00457925561299
0.0045 0.0045 0.017273222771
0.0045 0.0055 0.033443540465
0.0045 0.0065 0.0444368842047
0.0045 0.0075 0.0474940085296
0.0045 0.0085 0.0374469235942
0.0045 0.0095 0.014948346202
0.0045 0.0105 0.000874312595984
0.0045 0.0115 0.00325411933908
0.0045 0.0125 0.00375100859519
0.0045 0.0135 0.00313721812111
0.0045 0.0145 0.00176707170564
0.0045 0.0155 0.000564801003264
0.0045 0.0165 0.000394651026599
0.0045 0.0175 0.000236374344556
0.0045 0.0185 7.60773752855e-05
0.0045 0.0195 2.9407073739e-05
0.0045 0.0205 1.60717415122e-05
0.0045 0.0215 1.18535084588e-05
0.0045 0.0225 1.03037512064e-05
0.0045 0.0235 9.58842106144e-06
0.0045 0.0245 9.15376822902e-06
0.0045 0.0255 8.85196805766e-06
0.0045 0.0265 8.59168179561e-06
0.0045 0.0275 8.28877498518e-06
0.0045 0.0285 7.79808814341e-06
0.0045 0.0295 7.02243087496e-06
0.0045 0.0305 5.83224875879e-06
0.0045 0.0315 5.01113523034e-06
0.0055 -0.0315 5.68424327845e-06
0.0055 -0.0305 6.4570428345e-06
0.0055 -0.0295 7.70225468128e-06
0.0055 -0.0285 8.59088614626e-06
0.0055 -0.0275 9.23115394818e-06
0.0055 -0.0265 9.65582076386e-06
0.0055 -0.0255 9.95804998255e-06
0.0055 -0.0245 1.02165329357e-05
0.0055 -0.0235 1.06047022403e-05
0.0055 -0.0225 1.16191982988e-05
0.0055 -0.0215 1.59120949336e-05
0.0055 -0.0205 3.34791617428e-05
0.0055 -0.0195 0.00011571582076
0.0055 -0.0185 0.000726323706197
0.0055 -0.0175 0.00333404005126
0.0055 -0.0165 0.00755772972595
0.0055 -0.0155 0.00987935694197
0.0055 -0.0145 0.0107012692548
0.0055 -0.0135 0.00862093749506
0.0055 -0.0125 0.00583420317509
0.0055 -0.0115 0.0116161457428
0.0055 -0.0105 0.0236027045597
0.0055 -0.0095 0.0333394548183
0.0055 -0.0085 0.0349950838504
0.0055 -0.0075 0.0286075927776
0.0055 -0.0065 0.0174206241881
0.0055 -0.0055 0.00647291371765
0.0055 -0.0045 0.00131545169383
0.0055 -0.0035 0.000193871693212
0.0055 -0.0025 3.15838599605e-05
0.0055 -0.0015 1.11119758328e-05
0.0055 -0.0005 6.8190302024e-06
0.0055 0.0005 1.152755362e-05
0.0055 0.0015 4.53163181892e-05
0.0055 0.0025 0.000303328845275
0.0055 0.0035 0.00236847962413
0.0055 0.0045 0.0116711965519
0.0055 0.0055 0.0276496351943
0.0055 0.0065 0.0409657566434
0.0055 0.0075 0.0469595059807
0.0055 0.0085 0.0427566786833
0.0055 0.0095 0.0248854514505
0.0055 0.0105 0.00581619931589
0.0055 0.0115 0.00215070837612
0.0055 0.0125 0.00289816174042
0.0055 0.0135 0.00337898759783
0.0055 0.0145 0.0046966066562
0.0055 0.0155 0.00468424344889
0.0055 0.0165 0.00337006957258
0.0055 0.0175 0.00135907329199
0.0055 0.0185 0.00032108491538
0.0055 0.0195 7.83578968381e-05
0.0055 0.0205 2.91133139158e-05
0.0055 0.0215 1.6081428672e-05
0.0055 0.0225 1.22105857315e-05
0.0055 0.0235 1.08951658533e-05
0.0055 0.0245 1.01251069579e-05
0.0055 0.0255 9.54618478103e-06
0.0055 0.0265 9.02093548569e-06
0.0055 0.0275 8.45583139644e-06
0.0055 0.0285 7.74809619748e-06
0.0055 0.0295 6.86570352185e-06
0.0055 0.0305 5.73984432094e-06
0.0055 0.0315 5.11373544891e-06
0.0065 -0.0315 5.82079486526e-06
0.0065 -0.0305 6.45083230541e-06
0.0065 -0.0295 7.63791820861e-06
0.0065 -0.0285 8.58508371839e-06
0.0065 -0.0275 9.38373167195e-06
