% Model:              Benchmark260518.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 20 2026, 07:21
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        速度大小
% Length unit:        m
% x                       y                        spf.U (m/s)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 2.21218697722e-06
0.0005 -0.0305 4.48639169071e-06
0.0005 -0.0295 5.2348508162e-06
0.0005 -0.0285 7.72336622127e-06
0.0005 -0.0275 1.57309425796e-05
0.0005 -0.0265 4.45838530035e-05
0.0005 -0.0255 0.00017610165096
0.0005 -0.0245 0.000768311305591
0.0005 -0.0235 0.00421139168147
0.0005 -0.0225 0.00737099820411
0.0005 -0.0215 0.00648279147845
0.0005 -0.0205 0.00393997046763
0.0005 -0.0195 0.00169184674667
0.0005 -0.0185 0.000625937371052
0.0005 -0.0175 0.000484687460655
0.0005 -0.0165 0.000810884114299
0.0005 -0.0155 0.00115260675274
0.0005 -0.0145 0.00310457105783
0.0005 -0.0135 0.00753505670352
0.0005 -0.0125 0.0134288058411
0.0005 -0.0115 0.0203382860151
0.0005 -0.0105 0.0264079660051
0.0005 -0.0095 0.0303489322483
0.0005 -0.0085 0.0213329220384
0.0005 -0.0075 0.00679515721064
0.0005 -0.0065 0.00125685612844
0.0005 -0.0055 0.000690654399588
0.0005 -0.0045 0.000764153462597
0.0005 -0.0035 0.000496063816983
0.0005 -0.0025 0.00116486405447
0.0005 -0.0015 0.00226148958064
0.0005 -0.0005 0.00332167557934
0.0005 0.0005 0.00411330453729
0.0005 0.0015 0.00445513617461
0.0005 0.0025 0.00426657958183
0.0005 0.0035 0.00359367037252
0.0005 0.0045 0.00262705942933
0.0005 0.0055 0.00164338521805
0.0005 0.0065 0.000917541221091
0.0005 0.0075 0.000568453093776
0.0005 0.0085 0.000425818274484
0.0005 0.0095 0.000290345840161
0.0005 0.0105 0.000139887718941
0.0005 0.0115 4.8098400449e-05
0.0005 0.0125 2.0066155424e-05
0.0005 0.0135 1.16158436961e-05
0.0005 0.0145 8.98819647858e-06
0.0005 0.0155 7.70897152438e-06
0.0005 0.0165 7.04898972194e-06
0.0005 0.0175 6.66109294558e-06
0.0005 0.0185 6.40721415381e-06
0.0005 0.0195 6.22321749009e-06
0.0005 0.0205 6.0571500509e-06
0.0005 0.0215 5.8885988365e-06
0.0005 0.0225 5.70318089505e-06
0.0005 0.0235 5.50179492301e-06
0.0005 0.0245 5.29093633974e-06
0.0005 0.0255 5.07590366913e-06
