% Model:              SIMBench260525.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 17:50
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 321.079163483
0.0005 -0.0305 319.48823622
0.0005 -0.0295 317.897308957
0.0005 -0.0285 315.583244801
0.0005 -0.0275 313.391216271
0.0005 -0.0265 311.199187741
0.0005 -0.0255 309.930429083
0.0005 -0.0245 308.637465952
0.0005 -0.0235 307.344502821
0.0005 -0.0225 306.786371055
0.0005 -0.0215 305.890045482
0.0005 -0.0205 304.993719909
0.0005 -0.0195 304.707306401
0.0005 -0.0185 303.98148939
0.0005 -0.0175 303.255672379
0.0005 -0.0165 302.900457319
0.0005 -0.0155 302.008190088
0.0005 -0.0145 301.115922857
0.0005 -0.0135 300.181712918
0.0005 -0.0125 298.568807714
0.0005 -0.0115 296.95590251
0.0005 -0.0105 295.373878249
0.0005 -0.0095 294.928456591
0.0005 -0.0085 294.483034934
0.0005 -0.0075 293.456079159
0.0005 -0.0065 293.395906611
0.0005 -0.0055 293.335734064
0.0005 -0.0045 293.358554111
0.0005 -0.0035 293.434204191
0.0005 -0.0025 293.50985427
0.0005 -0.0015 293.281862838
0.0005 -0.0005 293.203929574
0.0005 0.0005 293.199887123
0.0005 0.0015 293.26986554
0.0005 0.0025 293.481643365
0.0005 0.0035 293.415836748
0.0005 0.0045 293.350030131
0.0005 0.0055 293.319997686
0.0005 0.0065 293.423190361
0.0005 0.0075 293.526383036
0.0005 0.0085 294.466987007
0.0005 0.0095 295.000753975
0.0005 0.0105 295.534520942
0.0005 0.0115 296.896481966
0.0005 0.0125 298.183361116
0.0005 0.0135 299.470240267
0.0005 0.0145 300.250075861
0.0005 0.0155 301.0706167
0.0005 0.0165 301.891157539
0.0005 0.0175 302.214535299
0.0005 0.0185 302.999847035
0.0005 0.0195 303.78515877
0.0005 0.0205 304.148519638
0.0005 0.0215 305.114229423
0.0005 0.0225 306.079939207
0.0005 0.0235 306.793386512
0.0005 0.0245 308.466602496
0.0005 0.0255 310.139818479
0.0005 0.0265 312.042160301
0.0005 0.0275 314.730584839
0.0005 0.0285 317.419009377
0.0005 0.0295 320.299119467
0.0005 0.0305 322.046416721
0.0005 0.0315 323.784281995
0.0015 -0.0315 320.303438183
0.0015 -0.0305 318.81326416
0.0015 -0.0295 316.914533799
0.0015 -0.0285 314.246944881
0.0015 -0.0275 311.871071692
0.0015 -0.0265 310.067245204
0.0015 -0.0255 309.137404496
0.0015 -0.0245 308.064795719
0.0015 -0.0235 307.165252284
0.0015 -0.0225 306.949160912
