% Model:              SIMBench260525粗网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 20:04
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 303.252503872
0.0005 -0.0305 302.081445804
0.0005 -0.0295 300.909661852
0.0005 -0.0285 299.7378779
0.0005 -0.0275 298.575639632
0.0005 -0.0265 298.113141616
0.0005 -0.0255 297.49615253
0.0005 -0.0245 296.879163445
0.0005 -0.0235 296.26217436
0.0005 -0.0225 295.887299088
0.0005 -0.0215 295.595819906
0.0005 -0.0205 295.257225795
0.0005 -0.0195 294.918631684
0.0005 -0.0185 294.580037572
0.0005 -0.0175 294.392814098
0.0005 -0.0165 294.192878744
0.0005 -0.0155 293.992943391
0.0005 -0.0145 293.793008037
0.0005 -0.0135 293.584602707
0.0005 -0.0125 293.489571345
0.0005 -0.0115 293.537617868
0.0005 -0.0105 293.585664391
0.0005 -0.0095 293.633710914
0.0005 -0.0085 293.509467655
0.0005 -0.0075 293.477961174
0.0005 -0.0065 293.500632761
0.0005 -0.0055 293.523304348
0.0005 -0.0045 293.545975935
0.0005 -0.0035 293.388331556
0.0005 -0.0025 293.314725537
0.0005 -0.0015 293.241119518
0.0005 -0.0005 293.1675135
0.0005 0.0005 293.266250138
0.0005 0.0015 293.445030841
0.0005 0.0025 293.623811544
0.0005 0.0035 293.802592247
0.0005 0.0045 294.169466516
0.0005 0.0055 294.173669065
0.0005 0.0065 294.177871614
0.0005 0.0075 294.182074162
0.0005 0.0085 294.202243283
0.0005 0.0095 294.595558063
0.0005 0.0105 294.99558717
0.0005 0.0115 295.395616277
0.0005 0.0125 295.795645384
0.0005 0.0135 296.18111975
0.0005 0.0145 296.647581012
0.0005 0.0155 297.131774451
0.0005 0.0165 297.61596789
0.0005 0.0175 298.100161328
0.0005 0.0185 298.356024221
0.0005 0.0195 298.630854119
0.0005 0.0205 298.905684016
0.0005 0.0215 299.180513914
0.0005 0.0225 299.430153605
0.0005 0.0235 299.804588676
0.0005 0.0245 300.423592709
0.0005 0.0255 301.042596742
0.0005 0.0265 301.661600774
0.0005 0.0275 302.164040861
0.0005 0.0285 303.268606467
0.0005 0.0295 304.386037501
0.0005 0.0305 305.503468535
0.0005 0.0315 306.619934909
0.0015 -0.0315 302.798349155
0.0015 -0.0305 301.847502302
0.0015 -0.0295 300.677896002
0.0015 -0.0285 299.50611205
0.0015 -0.0275 298.644449544
0.0015 -0.0265 298.317118774
0.0015 -0.0255 297.777391807
0.0015 -0.0245 297.160402722
0.0015 -0.0235 296.543413636
0.0015 -0.0225 296.463656631
0.0015 -0.0215 296.362718346
0.0015 -0.0205 296.024124234
0.0015 -0.0195 295.685530123
0.0015 -0.0185 295.424693751
0.0015 -0.0175 295.293883894
0.0015 -0.0165 295.123859702
0.0015 -0.0155 294.923924348
0.0015 -0.0145 294.723988994
0.0015 -0.0135 294.476724115
0.0015 -0.0125 294.211029967
0.0015 -0.0115 294.24816373
0.0015 -0.0105 294.296210253
0.0015 -0.0095 294.327680866
0.0015 -0.0085 294.000507313
0.0015 -0.0075 293.744029648
0.0015 -0.0065 293.766701235
0.0015 -0.0055 293.789372822
0.0015 -0.0045 293.71758613
0.0015 -0.0035 293.426599394
0.0015 -0.0025 293.316439684
0.0015 -0.0015 293.242833665
0.0015 -0.0005 293.188758659
0.0015 0.0005 293.295035691
0.0015 0.0015 293.539043581
0.0015 0.0025 293.717824284
0.0015 0.0035 293.896604987
0.0015 0.0045 294.376590612
0.0015 0.0055 294.818447091
0.0015 0.0065 294.82264964
0.0015 0.0075 294.826852188
0.0015 0.0085 295.006588004
0.0015 0.0095 295.393691202
0.0015 0.0105 295.790811872
0.0015 0.0115 296.190840979
0.0015 0.0125 296.590870086
0.0015 0.0135 296.958760764
0.0015 0.0145 297.350177104
0.0015 0.0155 297.834370542
0.0015 0.0165 298.318563981
0.0015 0.0175 298.697137839
0.0015 0.0185 298.856825907
0.0015 0.0195 299.08615266
0.0015 0.0205 299.360982557
0.0015 0.0215 299.635812455
0.0015 0.0225 299.768822183
0.0015 0.0235 299.844903428
0.0015 0.0245 300.454097626
0.0015 0.0255 301.073101659
