% Model:              SIMBench260525粗网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 20:03
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 295.205743181
0.0005 -0.0305 294.741096804
0.0005 -0.0295 294.271032661
0.0005 -0.0285 293.800968517
0.0005 -0.0275 293.330904373
0.0005 -0.0265 293.116187357
0.0005 -0.0255 293.097581886
0.0005 -0.0245 293.078976415
0.0005 -0.0235 293.060370944
0.0005 -0.0225 293.041765473
0.0005 -0.0215 292.965521223
0.0005 -0.0205 293.049314817
0.0005 -0.0195 293.133108411
0.0005 -0.0185 293.216902005
0.0005 -0.0175 293.300695599
0.0005 -0.0165 293.215154694
0.0005 -0.0155 293.261871467
0.0005 -0.0145 293.30858824
0.0005 -0.0135 293.355305012
0.0005 -0.0125 293.402021785
0.0005 -0.0115 293.303113593
0.0005 -0.0105 293.257217981
0.0005 -0.0095 293.211322368
0.0005 -0.0085 293.165426755
0.0005 -0.0075 293.251281146
0.0005 -0.0065 293.407270547
0.0005 -0.0055 293.563259949
0.0005 -0.0045 293.71924935
0.0005 -0.0035 294.053252128
0.0005 -0.0025 294.050195299
0.0005 -0.0015 294.047138469
0.0005 -0.0005 294.04408164
0.0005 0.0005 294.04102481
0.0005 0.0015 294.36372535
0.0005 0.0025 294.983556661
0.0005 0.0035 295.603387972
0.0005 0.0045 296.223219284
0.0005 0.0055 296.843050595
0.0005 0.0065 297.31094407
0.0005 0.0075 297.778644105
0.0005 0.0085 298.263340798
0.0005 0.0095 298.748037491
0.0005 0.0105 299.232734183
0.0005 0.0115 299.589104172
0.0005 0.0125 299.760199474
0.0005 0.0135 299.940262824
0.0005 0.0145 300.120326175
0.0005 0.0155 300.300389526
0.0005 0.0165 300.468482986
0.0005 0.0175 300.655724719
0.0005 0.0185 300.8808964
0.0005 0.0195 301.106068081
0.0005 0.0205 301.331239763
0.0005 0.0215 301.54780655
0.0005 0.0225 301.937809038
0.0005 0.0235 302.642782472
0.0005 0.0245 303.347755907
0.0005 0.0255 304.052729341
0.0005 0.0265 304.757702775
0.0005 0.0275 305.515241913
0.0005 0.0285 306.682435071
0.0005 0.0295 307.849628229
0.0005 0.0305 309.016821386
0.0005 0.0315 310.183348807
0.0015 -0.0315 295.586402743
0.0015 -0.0305 295.391205049
0.0015 -0.0295 294.937394208
0.0015 -0.0285 294.467330064
0.0015 -0.0275 294.040573791
0.0015 -0.0265 293.906778775
0.0015 -0.0255 293.823179016
0.0015 -0.0245 293.804573544
0.0015 -0.0235 293.785968073
0.0015 -0.0225 293.723952412
0.0015 -0.0215 293.589063148
0.0015 -0.0205 293.557235324
0.0015 -0.0195 293.641028918
0.0015 -0.0185 293.724822512
0.0015 -0.0175 293.705532001
0.0015 -0.0165 293.52939909
0.0015 -0.0155 293.468199798
0.0015 -0.0145 293.514916571
0.0015 -0.0135 293.561633343
0.0015 -0.0125 293.509269624
0.0015 -0.0115 293.325461584
0.0015 -0.0105 293.264908768
0.0015 -0.0095 293.219013155
0.0015 -0.0085 293.180642999
0.0015 -0.0075 293.269428195
0.0015 -0.0065 293.476576329
0.0015 -0.0055 293.63256573
0.0015 -0.0045 293.788555132
0.0015 -0.0035 294.223425761
0.0015 -0.0025 294.634574065
0.0015 -0.0015 294.631517236
0.0015 -0.0005 294.628460406
0.0015 0.0005 294.684687308
0.0015 0.0015 295.216432152
0.0015 0.0025 295.774530066
0.0015 0.0035 296.394361377
0.0015 0.0045 297.014192688
0.0015 0.0055 297.601313232
0.0015 0.0065 297.924972625
0.0015 0.0075 298.28966336
0.0015 0.0085 298.774360052
0.0015 0.0095 299.259056745
0.0015 0.0105 299.743753438
0.0015 0.0115 299.892297042
0.0015 0.0125 300.04014827
0.0015 0.0135 300.220211621
0.0015 0.0145 300.400274972
0.0015 0.0155 300.580338322
0.0015 0.0165 300.717035841
0.0015 0.0175 300.844906051
0.0015 0.0185 301.067489567
0.0015 0.0195 301.292661249
0.0015 0.0205 301.51783293
0.0015 0.0215 301.671904621
0.0015 0.0225 301.791410579
0.0015 0.0235 302.387853281
0.0015 0.0245 303.092826716
0.0015 0.0255 303.79780015
0.0015 0.0265 304.342547206
0.0015 0.0275 304.818193959
0.0015 0.0285 305.938354784
0.0015 0.0295 307.105547942
0.0015 0.0305 308.270743887
0.0015 0.0315 309.388981274
0.0025 -0.0315 295.967062304
0.0025 -0.0305 295.771864611
0.0025 -0.0295 295.576666918
0.0025 -0.0285 295.133691612
0.0025 -0.0275 294.84789696
0.0025 -0.0265 294.714101945
0.0025 -0.0255 294.580306929
0.0025 -0.0245 294.530170674
0.0025 -0.0235 294.511565203
0.0025 -0.0225 294.38184815
0.0025 -0.0215 294.246958886
0.0025 -0.0205 294.112069621
0.0025 -0.0195 294.148949426
0.0025 -0.0185 294.23274302
0.0025 -0.0175 294.058087604
0.0025 -0.0165 293.881954692
