% Model:              SIMBench260525粗网格.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 20:05
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 294.55782375
0.0005 -0.0305 294.509013774
0.0005 -0.0295 294.484180481
0.0005 -0.0285 294.459347189
0.0005 -0.0275 294.403683007
0.0005 -0.0265 294.317114959
0.0005 -0.0255 294.230546911
0.0005 -0.0245 294.10056512
0.0005 -0.0235 293.740926666
0.0005 -0.0225 293.617209104
0.0005 -0.0215 293.493491542
0.0005 -0.0205 293.36977398
0.0005 -0.0195 293.246056418
0.0005 -0.0185 293.152483737
0.0005 -0.0175 293.144635189
0.0005 -0.0165 293.145123413
0.0005 -0.0155 293.145611638
0.0005 -0.0145 293.146099863
0.0005 -0.0135 293.154004529
0.0005 -0.0125 293.249792697
0.0005 -0.0115 293.3846251
0.0005 -0.0105 293.519457504
0.0005 -0.0095 293.654289908
0.0005 -0.0085 293.789122312
0.0005 -0.0075 294.068563438
0.0005 -0.0065 294.100704694
0.0005 -0.0055 294.13284595
0.0005 -0.0045 294.164987206
0.0005 -0.0035 294.197128462
0.0005 -0.0025 294.808243219
0.0005 -0.0015 295.423782145
0.0005 -0.0005 296.039321072
0.0005 0.0005 296.654859999
0.0005 0.0015 297.270398926
0.0005 0.0025 297.905663016
0.0005 0.0035 298.881079113
0.0005 0.0045 299.85649521
0.0005 0.0055 300.831911307
0.0005 0.0065 301.807327404
0.0005 0.0075 302.292341692
0.0005 0.0085 302.70217629
0.0005 0.0095 303.112010887
0.0005 0.0105 303.521845484
0.0005 0.0115 303.931680082
0.0005 0.0125 304.274506876
0.0005 0.0135 304.601592989
0.0005 0.0145 304.928679102
0.0005 0.0155 305.255765215
0.0005 0.0165 305.582851329
0.0005 0.0175 305.890206102
0.0005 0.0185 306.358006271
0.0005 0.0195 306.82580644
0.0005 0.0205 307.293606609
0.0005 0.0215 307.761406778
0.0005 0.0225 308.238152372
0.0005 0.0235 309.419740231
0.0005 0.0245 310.601328091
0.0005 0.0255 311.78291595
0.0005 0.0265 312.964503809
0.0005 0.0275 314.099043155
0.0005 0.0285 315.6548389
0.0005 0.0295 317.210634646
0.0005 0.0305 318.766430391
0.0005 0.0315 320.323003118
0.0015 -0.0315 295.334101277
0.0015 -0.0305 295.173109401
0.0015 -0.0295 295.076346058
0.0015 -0.0285 295.051512766
0.0015 -0.0275 294.99592156
0.0015 -0.0265 294.909353512
0.0015 -0.0255 294.692544236
0.0015 -0.0245 294.357772434
0.0015 -0.0235 293.973440295
0.0015 -0.0225 293.613628874
0.0015 -0.0215 293.489911312
0.0015 -0.0205 293.36619375
0.0015 -0.0195 293.242476188
0.0015 -0.0185 293.18460084
0.0015 -0.0175 293.143269244
0.0015 -0.0165 293.143757469
0.0015 -0.0155 293.144245694
0.0015 -0.0145 293.144733918
0.0015 -0.0135 293.185093042
0.0015 -0.0125 293.238445994
0.0015 -0.0115 293.364784959
0.0015 -0.0105 293.499617362
0.0015 -0.0095 293.634449766
0.0015 -0.0085 293.898829238
0.0015 -0.0075 294.305988044
0.0015 -0.0065 294.472773144
0.0015 -0.0055 294.5049144
0.0015 -0.0045 294.537055656
0.0015 -0.0035 294.890059058
0.0015 -0.0025 295.686499045
0.0015 -0.0015 296.370399927
0.0015 -0.0005 296.985938854
0.0015 0.0005 297.60147778
0.0015 0.0015 298.181465726
0.0015 0.0025 298.707879891
0.0015 0.0035 299.50727005
0.0015 0.0045 300.482686148
0.0015 0.0055 301.458102245
0.0015 0.0065 302.189917517
0.0015 0.0075 302.530704042
0.0015 0.0085 302.913145109
0.0015 0.0095 303.322979706
0.0015 0.0105 303.732814303
0.0015 0.0115 304.110315237
0.0015 0.0125 304.435108927
0.0015 0.0135 304.761294686
0.0015 0.0145 305.088380799
0.0015 0.0155 305.415466913
0.0015 0.0165 305.712095697
0.0015 0.0175 305.959571586
0.0015 0.0185 306.337531233
0.0015 0.0195 306.805331402
0.0015 0.0205 307.273131571
0.0015 0.0215 307.658103868
0.0015 0.0225 307.925488241
0.0015 0.0235 308.703368352
0.0015 0.0245 309.884956212
0.0015 0.0255 311.066544071
0.0015 0.0265 312.112204398
0.0015 0.0275 313.032610393
0.0015 0.0285 314.470162106
0.0015 0.0295 316.025957852
0.0015 0.0305 317.584084541
0.0015 0.0315 319.28258263
0.0025 -0.0315 296.110378805
0.0025 -0.0305 295.949386929
0.0025 -0.0295 295.788395052
0.0025 -0.0285 295.643678343
0.0025 -0.0275 295.588160114
0.0025 -0.0265 295.284523352
0.0025 -0.0255 294.94975155
0.0025 -0.0245 294.614979748
0.0025 -0.0235 294.222131509
0.0025 -0.0225 293.813787334
0.0025 -0.0215 293.486331082
0.0025 -0.0205 293.36261352
0.0025 -0.0195 293.26665822
0.0025 -0.0185 293.216717942
0.0025 -0.0175 293.166777665
0.0025 -0.0165 293.142391524
0.0025 -0.0155 293.142879749
0.0025 -0.0145 293.162828604
0.0025 -0.0135 293.216181556
0.0025 -0.0125 293.269534507
0.0025 -0.0115 293.344944817
0.0025 -0.0105 293.479777221
0.0025 -0.0095 293.648970469
0.0025 -0.0085 294.056129276
0.0025 -0.0075 294.463288082
0.0025 -0.0065 294.844841595
0.0025 -0.0055 294.876982851
0.0025 -0.0045 294.934361862
0.0025 -0.0035 295.730801849
0.0025 -0.0025 296.527241836
0.0025 -0.0015 297.317017708
0.0025 -0.0005 297.932556635
0.0025 0.0005 298.548095562
0.0025 0.0015 299.0746746
0.0025 0.0025 299.601088764
0.0025 0.0035 300.133460988
0.0025 0.0045 301.108877085
0.0025 0.0055 302.084293182
0.0025 0.0065 302.442164714
0.0025 0.0075 302.782951239
0.0025 0.0085 303.124113928
0.0025 0.0095 303.533948525
0.0025 0.0105 303.943783123
0.0025 0.0115 304.271381312
0.0025 0.0125 304.596175002
0.0025 0.0135 304.920996384
0.0025 0.0145 305.248082497
0.0025 0.0155 305.57516861
0.0025 0.0165 305.824955767
0.0025 0.0175 306.072431656
0.0025 0.0185 306.319907545
0.0025 0.0195 306.784856364
0.0025 0.0205 307.248220612
0.0025 0.0215 307.515604984
0.0025 0.0225 307.782989356
0.0025 0.0235 308.050373729
0.0025 0.0245 309.168584333
0.0025 0.0255 310.297747549
0.0025 0.0265 311.218153543
0.0025 0.0275 312.138559537
0.0025 0.0285 313.285485313
0.0025 0.0295 314.845165965
0.0025 0.0305 316.543664054
0.0025 0.0315 318.242162143
0.0035 -0.0315 296.886656333
0.0035 -0.0305 296.725664456
0.0035 -0.0295 296.56467258
