% Model:              SIMBench260525.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 17:51
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 293.177924859
0.0005 -0.0305 293.169584211
0.0005 -0.0295 293.161267321
0.0005 -0.0285 293.156485322
0.0005 -0.0275 293.156013157
0.0005 -0.0265 293.154986765
0.0005 -0.0255 293.154895116
0.0005 -0.0245 293.155079684
0.0005 -0.0235 293.151596992
0.0005 -0.0225 293.145928401
0.0005 -0.0215 293.137868577
0.0005 -0.0205 293.133363544
0.0005 -0.0195 293.150553197
0.0005 -0.0185 293.516603832
0.0005 -0.0175 295.02976066
0.0005 -0.0165 296.659411585
0.0005 -0.0155 300.266175388
0.0005 -0.0145 302.282413312
0.0005 -0.0135 304.298651236
0.0005 -0.0125 310.155987424
0.0005 -0.0115 317.840986
0.0005 -0.0105 324.773731362
0.0005 -0.0095 327.106450438
0.0005 -0.0085 329.083443323
0.0005 -0.0075 330.838987294
0.0005 -0.0065 331.680398768
0.0005 -0.0055 332.348918079
0.0005 -0.0045 333.024482562
0.0005 -0.0035 333.475766799
0.0005 -0.0025 333.903032255
0.0005 -0.0015 334.222118175
0.0005 -0.0005 334.642728078
0.0005 0.0005 335.063337982
0.0005 0.0015 335.34337555
0.0005 0.0025 335.936075305
0.0005 0.0035 336.514379373
0.0005 0.0045 336.943562441
0.0005 0.0055 337.698487141
0.0005 0.0065 338.362975579
0.0005 0.0075 339.16154189
0.0005 0.0085 340.264169339
0.0005 0.0095 341.186896733
0.0005 0.0105 343.00454093
0.0005 0.0115 345.149469393
0.0005 0.0125 347.193288851
0.0005 0.0135 352.152909604
0.0005 0.0145 357.245976219
0.0005 0.0155 363.71478054
0.0005 0.0165 372.769719221
0.0005 0.0175 381.824657903
0.0005 0.0185 392.10908395
0.0005 0.0195 401.442948414
0.0005 0.0205 410.735729783
0.0005 0.0215 418.219226402
0.0005 0.0225 424.219602377
0.0005 0.0235 429.782267951
0.0005 0.0245 433.153560842
0.0005 0.0255 436.003967648
0.0005 0.0265 438.428746251
0.0005 0.0275 439.78272007
0.0005 0.0285 441.019210636
0.0005 0.0295 442.048772087
0.0005 0.0305 442.667678402
0.0005 0.0315 443.275135864
0.0015 -0.0315 293.224628988
0.0015 -0.0305 293.185749467
0.0015 -0.0295 293.176951758
0.0015 -0.0285 293.167915483
0.0015 -0.0275 293.165899626
0.0015 -0.0265 293.1642052
0.0015 -0.0255 293.162934787
0.0015 -0.0245 293.161700954
0.0015 -0.0235 293.157507128
0.0015 -0.0225 293.152486711
0.0015 -0.0215 293.13210747
0.0015 -0.0205 293.103828025
0.0015 -0.0195 293.116559082
0.0015 -0.0185 293.916041983
0.0015 -0.0175 294.923013224
0.0015 -0.0165 297.588418295
0.0015 -0.0155 302.448167895
0.0015 -0.0145 305.743304634
0.0015 -0.0135 309.385069733
0.0015 -0.0125 314.302019231
0.0015 -0.0115 321.314574143
0.0015 -0.0105 325.297344067
0.0015 -0.0095 328.06774801
0.0015 -0.0085 330.085152216
0.0015 -0.0075 331.437204916
0.0015 -0.0065 332.661963194
0.0015 -0.0055 333.331978544
0.0015 -0.0045 334.014409151
0.0015 -0.0035 334.618798955
0.0015 -0.0025 334.995403409
0.0015 -0.0015 335.243421967
0.0015 -0.0005 335.5744907
0.0015 0.0005 335.854084104
0.0015 0.0015 335.966979778
0.0015 0.0025 336.394357541
0.0015 0.0035 336.725550022
0.0015 0.0045 336.905867151
0.0015 0.0055 337.562378536
0.0015 0.0065 337.970430195
0.0015 0.0075 338.297797796
0.0015 0.0085 339.400425245
0.0015 0.0095 340.045300185
0.0015 0.0105 340.942492719
0.0015 0.0115 343.058475388
0.0015 0.0125 345.024000745
0.0015 0.0135 348.06097264
0.0015 0.0145 353.626821888
0.0015 0.0155 360.119574649
0.0015 0.0165 367.933488199
0.0015 0.0175 377.959183518
0.0015 0.0185 388.897188548
0.0015 0.0195 398.721136747
0.0015 0.0205 407.751695635
0.0015 0.0215 416.648280531
0.0015 0.0225 423.009252902
0.0015 0.0235 427.600366059
0.0015 0.0245 431.924270428
0.0015 0.0255 434.747307722
0.0015 0.0265 436.632180134
0.0015 0.0275 438.411821001
0.0015 0.0285 439.549143106
0.0015 0.0295 440.524107872
0.0015 0.0305 441.248187885
0.0015 0.0315 441.178889651
0.0025 -0.0315 293.271333117
0.0025 -0.0305 293.22256383
0.0025 -0.0295 293.191247115
0.0025 -0.0285 293.182509161
0.0025 -0.0275 293.174924363
0.0025 -0.0265 293.173257165
0.0025 -0.0255 293.171589968
0.0025 -0.0245 293.168025738
0.0025 -0.0235 293.163820089
0.0025 -0.0225 293.155172241
0.0025 -0.0215 293.126945276
0.0025 -0.0205 293.098658661
0.0025 -0.0195 293.375063959
0.0025 -0.0185 294.186407028
0.0025 -0.0175 294.997750098
0.0025 -0.0165 298.827289875
0.0025 -0.0155 303.702330483
0.0025 -0.0145 308.77666613
0.0025 -0.0135 313.824467451
0.0025 -0.0125 318.766605167
0.0025 -0.0115 322.851914082
0.0025 -0.0105 325.628934857
0.0025 -0.0095 328.405955632
0.0025 -0.0085 330.737640938
0.0025 -0.0075 332.044579632
0.0025 -0.0065 333.351518327
0.0025 -0.0055 334.520241191
0.0025 -0.0045 335.201546328
0.0025 -0.0035 335.882851464
0.0025 -0.0025 336.344604785
0.0025 -0.0015 336.592905787
0.0025 -0.0005 336.828145873
0.0025 0.0005 336.93173066
0.0025 0.0015 337.046293748
0.0025 0.0025 337.038497639
0.0025 0.0035 337.221107406
0.0025 0.0045 337.403717174
0.0025 0.0055 337.475439889
0.0025 0.0065 337.804558264
0.0025 0.0075 338.133676639
0.0025 0.0085 338.478116208
0.0025 0.0095 339.119158856
0.0025 0.0105 339.760201503
0.0025 0.0115 341.052003856
0.0025 0.0125 343.020076926
0.0025 0.0135 344.988149996
0.0025 0.0145 350.095571545
0.0025 0.0155 356.584945059
0.0025 0.0165 362.995364616
0.0025 0.0175 373.410831154
0.0025 0.0185 384.350443416
