% Model:              SIMBench260525.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 27 2026, 17:55
% Dimension:          2
% Nodes:              4096
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        T (K)
% mirrored_by_python_y_to_minus_y, coord_match_decimals=12
0.0005 -0.0315 293.158084006
0.0005 -0.0305 293.155506963
0.0005 -0.0295 293.1529595
0.0005 -0.0285 293.151852532
0.0005 -0.0275 293.151865699
0.0005 -0.0265 293.151747472
0.0005 -0.0255 293.151753063
0.0005 -0.0245 293.151807286
0.0005 -0.0235 293.150221272
0.0005 -0.0225 293.147588491
0.0005 -0.0215 293.14391187
0.0005 -0.0205 293.141592038
0.0005 -0.0195 293.148564624
0.0005 -0.0185 293.318353176
0.0005 -0.0175 294.015371658
0.0005 -0.0165 294.765411264
0.0005 -0.0155 296.124571636
0.0005 -0.0145 296.421933849
0.0005 -0.0135 296.719296062
0.0005 -0.0125 298.412936296
0.0005 -0.0115 300.460397796
0.0005 -0.0105 302.341687552
0.0005 -0.0095 303.379276657
0.0005 -0.0085 304.478987374
0.0005 -0.0075 305.338408768
0.0005 -0.0065 305.665841956
0.0005 -0.0055 305.976875339
0.0005 -0.0045 306.182189063
0.0005 -0.0035 306.349614354
0.0005 -0.0025 306.523830056
0.0005 -0.0015 306.591627214
0.0005 -0.0005 306.790559507
0.0005 0.0005 306.9894918
0.0005 0.0015 307.100366271
0.0005 0.0025 307.359271922
0.0005 0.0035 307.612423364
0.0005 0.0045 307.777002843
0.0005 0.0055 308.033813056
0.0005 0.0065 308.263447493
0.0005 0.0075 308.473025203
0.0005 0.0085 308.735034957
0.0005 0.0095 308.952160841
0.0005 0.0105 309.231585344
0.0005 0.0115 309.547935176
0.0005 0.0125 309.781274348
0.0005 0.0135 310.171486873
0.0005 0.0145 310.571474275
0.0005 0.0155 310.887920645
0.0005 0.0165 311.446400507
0.0005 0.0175 312.004880369
0.0005 0.0185 312.581586606
0.0005 0.0195 313.543710081
0.0005 0.0205 314.49377903
0.0005 0.0215 315.850827552
0.0005 0.0225 317.756920578
0.0005 0.0235 319.703446144
0.0005 0.0245 322.434898758
0.0005 0.0255 325.519459468
0.0005 0.0265 328.947627678
0.0005 0.0275 332.039981399
0.0005 0.0285 334.961569468
0.0005 0.0295 337.706954029
0.0005 0.0305 339.01841187
0.0005 0.0315 340.32277077
0.0015 -0.0315 293.170636548
0.0015 -0.0305 293.159946194
0.0015 -0.0295 293.15750059
0.0015 -0.0285 293.155287927
0.0015 -0.0275 293.154900638
0.0015 -0.0265 293.154624038
0.0015 -0.0255 293.154422092
0.0015 -0.0245 293.153849027
0.0015 -0.0235 293.151966906
0.0015 -0.0225 293.149664048
0.0015 -0.0215 293.14060965
0.0015 -0.0205 293.128106589
0.0015 -0.0195 293.133169451
0.0015 -0.0185 293.505244126
0.0015 -0.0175 293.971877159
0.0015 -0.0165 295.098001776
0.0015 -0.0155 297.020892694
0.0015 -0.0145 298.049358276
0.0015 -0.0135 299.044738515
0.0015 -0.0125 300.587702442
0.0015 -0.0115 302.512596877
0.0015 -0.0105 303.74222819
0.0015 -0.0095 304.704018836
0.0015 -0.0085 305.795849515
0.0015 -0.0075 306.217530497
0.0015 -0.0065 306.581317843
0.0015 -0.0055 306.870012224
0.0015 -0.0045 306.972214791
0.0015 -0.0035 307.096406795
0.0015 -0.0025 307.219565731
0.0015 -0.0015 307.213185692
0.0015 -0.0005 307.305613938
0.0015 0.0005 307.425571015
0.0015 0.0015 307.452191721
0.0015 0.0025 307.631181662
0.0015 0.0035 307.785541215
0.0015 0.0045 307.879578086
0.0015 0.0055 308.108643561
0.0015 0.0065 308.26121554
0.0015 0.0075 308.389557631
0.0015 0.0085 308.651567385
0.0015 0.0095 308.799373995
0.0015 0.0105 308.974909947
0.0015 0.0115 309.267494018
0.0015 0.0125 309.436554399
0.0015 0.0135 309.684961689
0.0015 0.0145 310.026670541
0.0015 0.0155 310.254414632
0.0015 0.0165 310.652946972
0.0015 0.0175 311.120542353
0.0015 0.0185 311.50294449
0.0015 0.0195 312.288090714
0.0015 0.0205 313.16125758
0.0015 0.0215 313.99516941
0.0015 0.0225 315.767796493
0.0015 0.0235 317.804066835
0.0015 0.0245 319.889745189
0.0015 0.0255 322.996401169
0.0015 0.0265 326.860432918
0.0015 0.0275 330.571507262
0.0015 0.0285 333.467898042
0.0015 0.0295 336.323036143
0.0015 0.0305 338.218082864
0.0015 0.0315 339.102814695
0.0025 -0.0315 293.183189091
0.0025 -0.0305 293.169954224
0.0025 -0.0295 293.161600319
0.0025 -0.0285 293.159482442
0.0025 -0.0275 293.157715584
0.0025 -0.0265 293.157447646
0.0025 -0.0255 293.157179708
0.0025 -0.0245 293.155742249
0.0025 -0.0235 293.153855197
0.0025 -0.0225 293.150002287
0.0025 -0.0215 293.137520599
0.0025 -0.0205 293.125014985
0.0025 -0.0195 293.256479654
0.0025 -0.0185 293.634067382
0.0025 -0.0175 294.011655109
0.0025 -0.0165 295.560951313
0.0025 -0.0155 297.48874734
0.0025 -0.0145 299.501109446
0.0025 -0.0135 301.13085214
0.0025 -0.0125 302.683305091
0.0025 -0.0115 304.037978614
0.0025 -0.0105 305.002835589
0.0025 -0.0095 305.967692565
0.0025 -0.0085 306.669955609
0.0025 -0.0075 307.042711535
0.0025 -0.0065 307.41546746
0.0025 -0.0055 307.658035413
0.0025 -0.0045 307.760254084
0.0025 -0.0035 307.862472754
