case_id,mat2_before,spf_before,final_domains,action,message
005,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
006,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
010,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
013,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
014,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
015,"[1, 3, 8, 9]","[1, 3, 8, 9]","[1, 3, 9]",FIXED,"需要修正：mat2=[1, 3, 8, 9], spf=[1, 3, 8, 9] -> final=[1, 3, 9]; read_mode=api"
016,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
021,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
022,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
027,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
030,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
031,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
032,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
033,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
034,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
035,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
036,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
038,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
042,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
048,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
051,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
052,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
053,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
054,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
059,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
062,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
064,"[1, 3, 4, 14]","[1, 3, 4, 14]","[1, 3, 14]",FIXED,"需要修正：mat2=[1, 3, 4, 14], spf=[1, 3, 4, 14] -> final=[1, 3, 14]; read_mode=api"
065,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
