case_id,mat2_before,spf_before,final_domains,action,message
010,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
014,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
034,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
052,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
053,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
054,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
010,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
014,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
034,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
052,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
053,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
054,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
