case_id,status,num_boundary_files,export_txt,saved_mph,time_seconds,message
000,OK,3,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_000.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_000.mph,25.67,完成
001,OK,3,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_001.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_001.mph,10.25,完成
002,OK,1,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_002.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_002.mph,13.11,完成
003,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_003.txt,,21.65,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
004,OK,6,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_004.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_004.mph,9.47,完成
005,OK,6,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_005.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_005.mph,8.38,完成
006,OK,11,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_006.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_006.mph,9.35,完成
007,OK,2,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_007.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_007.mph,7.25,完成
008,OK,8,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_008.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_008.mph,8.12,完成
009,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_009.txt,,21.28,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
010,OK,7,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_010.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_010.mph,7.85,完成
011,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_011.txt,,21.69,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
012,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_012.txt,,19.31,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
013,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_013.txt,,21.95,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
014,OK,4,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_014.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_014.mph,7.11,完成
015,OK,7,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_015.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_015.mph,7.06,完成
016,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_016.txt,,17.05,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
017,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_017.txt,,17.92,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
018,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_018.txt,,24.15,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
019,OK,5,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_019.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_019.mph,10.67,完成
020,OK,11,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_020.txt,D:\Diff_Topo\开源\topodiff-Evaluate\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_020.mph,7.88,完成
