Sample_ID	w1(pixels)	c1(pixels)	w2(pixels)	c2(pixels)	vf(Fraction)
000	4	55.5	4	55.5	0.4000
001	4	55.5	4	23.5	0.4000
002	4	55.5	8	55.5	0.3000
003	4	55.5	8	55.5	0.4000
004	4	55.5	8	23.5	0.5000
005	4	55.5	16	7.5	0.5000
006	4	39.5	4	31.5	0.6000
007	4	39.5	8	55.5	0.3000
008	4	39.5	8	39.5	0.6000
009	4	39.5	8	31.5	0.6000
010	4	39.5	8	7.5	0.6000
011	4	39.5	16	55.5	0.5000
012	4	39.5	16	39.5	0.4000
013	4	39.5	16	39.5	0.5000
014	4	31.5	4	55.5	0.4000
015	4	31.5	4	31.5	0.5000
016	4	31.5	16	55.5	0.3000
017	4	31.5	16	55.5	0.4000
018	4	31.5	16	39.5	0.5000
019	4	23.5	4	31.5	0.4000
020	4	23.5	4	31.5	0.6000
021	4	23.5	8	55.5	0.4000
022	4	23.5	8	39.5	0.4000
023	4	23.5	8	23.5	0.5000
024	4	7.5	4	55.5	0.4000
025	4	7.5	4	55.5	0.6000
026	4	7.5	4	31.5	0.6000
027	4	7.5	4	23.5	0.3000
028	4	7.5	8	31.5	0.4000
029	4	7.5	8	31.5	0.5000
030	4	7.5	8	23.5	0.4000
031	4	7.5	8	7.5	0.3000
032	4	7.5	16	23.5	0.6000
033	8	55.5	4	31.5	0.3000
034	8	55.5	4	23.5	0.4000
035	8	55.5	4	23.5	0.6000
036	8	55.5	8	31.5	0.5000
037	8	55.5	8	7.5	0.6000
038	8	55.5	16	55.5	0.6000
039	8	55.5	16	39.5	0.4000
040	8	39.5	4	39.5	0.5000
041	8	39.5	4	23.5	0.3000
042	8	39.5	8	39.5	0.4000
043	8	39.5	8	39.5	0.6000
044	8	39.5	8	31.5	0.4000
045	8	39.5	16	55.5	0.4000
046	8	39.5	16	23.5	0.4000
047	8	31.5	4	39.5	0.6000
048	8	31.5	4	23.5	0.6000
049	8	31.5	8	23.5	0.5000
050	8	31.5	8	23.5	0.6000
051	8	31.5	8	7.5	0.5000
052	8	31.5	8	7.5	0.6000
053	8	31.5	16	55.5	0.4000
054	8	31.5	16	39.5	0.5000
055	8	31.5	16	23.5	0.5000
056	8	31.5	16	23.5	0.6000
057	8	31.5	16	7.5	0.3000
058	8	23.5	4	39.5	0.3000
059	8	23.5	4	31.5	0.6000
060	8	23.5	8	39.5	0.3000
061	8	23.5	8	31.5	0.3000
062	8	23.5	8	31.5	0.5000
063	8	7.5	4	23.5	0.6000
064	8	7.5	8	55.5	0.3000
065	8	7.5	8	55.5	0.4000
066	8	7.5	8	55.5	0.5000
067	8	7.5	8	39.5	0.3000
068	8	7.5	8	39.5	0.4000
069	8	7.5	8	39.5	0.5000
070	16	55.5	4	55.5	0.3000
071	16	55.5	4	23.5	0.5000
072	16	55.5	16	39.5	0.5000
073	16	39.5	4	55.5	0.4000
074	16	39.5	4	55.5	0.6000
075	16	39.5	8	55.5	0.4000
076	16	39.5	8	39.5	0.5000
077	16	39.5	8	7.5	0.6000
078	16	39.5	16	55.5	0.3000
079	16	39.5	16	55.5	0.4000
080	16	39.5	16	55.5	0.5000
081	16	31.5	4	39.5	0.5000
082	16	31.5	4	31.5	0.4000
083	16	31.5	8	39.5	0.6000
084	16	31.5	16	31.5	0.4000
085	16	31.5	16	31.5	0.6000
086	16	31.5	16	23.5	0.6000
087	16	31.5	16	7.5	0.3000
088	16	23.5	4	55.5	0.5000
089	16	23.5	8	39.5	0.4000
090	16	23.5	8	7.5	0.5000
091	16	23.5	16	31.5	0.6000
092	16	23.5	16	7.5	0.6000
093	16	7.5	4	55.5	0.3000
094	16	7.5	4	7.5	0.3000
095	16	7.5	8	55.5	0.3000
096	16	7.5	8	31.5	0.6000
097	16	7.5	16	55.5	0.3000
098	16	7.5	16	23.5	0.3000
099	16	7.5	16	7.5	0.3000
