Sample_ID	w1(pixels)	c1(pixels)	w2(pixels)	c2(pixels)	vf(Fraction)
000	4	24	4	24	0.4
001	4	24	4	-8	0.4
002	4	24	8	24	0.3
003	4	24	8	24	0.4
004	4	24	8	-8	0.5
005	4	24	16	-24	0.5
006	4	8	4	0	0.6
007	4	8	8	24	0.3
008	4	8	8	8	0.6
009	4	8	8	0	0.6
010	4	8	8	-24	0.6
011	4	8	16	24	0.5
012	4	8	16	8	0.4
013	4	8	16	8	0.5
014	4	0	4	24	0.4
015	4	0	4	0	0.5
016	4	0	16	24	0.3
017	4	0	16	24	0.4
018	4	0	16	8	0.5
019	4	-8	4	0	0.4
020	4	-8	4	0	0.6
021	4	-8	8	24	0.4
022	4	-8	8	8	0.4
023	4	-8	8	-8	0.5
024	4	-24	4	24	0.4
025	4	-24	4	24	0.6
026	4	-24	4	0	0.6
027	4	-24	4	-8	0.3
028	4	-24	8	0	0.4
029	4	-24	8	0	0.5
030	4	-24	8	-8	0.4
031	4	-24	8	-24	0.3
032	4	-24	16	-8	0.6
033	8	24	4	0	0.3
034	8	24	4	-8	0.4
035	8	24	4	-8	0.6
036	8	24	8	0	0.5
037	8	24	8	-24	0.6
038	8	24	16	24	0.6
039	8	24	16	8	0.4
040	8	8	4	8	0.5
041	8	8	4	-8	0.3
042	8	8	8	8	0.4
043	8	8	8	8	0.6
044	8	8	8	0	0.4
045	8	8	16	24	0.4
046	8	8	16	-8	0.4
047	8	0	4	8	0.6
048	8	0	4	-8	0.6
049	8	0	8	-8	0.5
050	8	0	8	-8	0.6
051	8	0	8	-24	0.5
052	8	0	8	-24	0.6
053	8	0	16	24	0.4
054	8	0	16	8	0.5
055	8	0	16	-8	0.5
056	8	0	16	-8	0.6
057	8	0	16	-24	0.3
058	8	-8	4	8	0.3
059	8	-8	4	0	0.6
060	8	-8	8	8	0.3
061	8	-8	8	0	0.3
062	8	-8	8	0	0.5
063	8	-24	4	-8	0.6
064	8	-24	8	24	0.3
065	8	-24	8	24	0.4
066	8	-24	8	24	0.5
067	8	-24	8	8	0.3
068	8	-24	8	8	0.4
069	8	-24	8	8	0.5
070	16	24	4	24	0.3
071	16	24	4	-8	0.5
072	16	24	16	8	0.5
073	16	8	4	24	0.4
074	16	8	4	24	0.6
075	16	8	8	24	0.4
076	16	8	8	8	0.5
077	16	8	8	-24	0.6
078	16	8	16	24	0.3
079	16	8	16	24	0.4
080	16	8	16	24	0.5
081	16	0	4	8	0.5
082	16	0	4	0	0.4
083	16	0	8	8	0.6
084	16	0	16	0	0.4
085	16	0	16	0	0.6
086	16	0	16	-8	0.6
087	16	0	16	-24	0.3
088	16	-8	4	24	0.5
089	16	-8	8	8	0.4
090	16	-8	8	-24	0.5
091	16	-8	16	0	0.6
092	16	-8	16	-24	0.6
093	16	-24	4	24	0.3
094	16	-24	4	-24	0.3
095	16	-24	8	24	0.3
096	16	-24	8	0	0.6
097	16	-24	16	24	0.3
098	16	-24	16	-8	0.3
099	16	-24	16	-24	0.3
