Sample_ID,Sim_Mean_Temp,GT_Mean_Temp,Abs_Error,Rel_Error
0,295.9876,304.069,8.0815,0.026578
1,297.1109,304.069,6.9581,0.022883
2,297.6428,304.069,6.4262,0.021134
3,295.7546,304.069,8.3144,0.027344
4,297.2749,301.8893,4.6145,0.015285
5,295.2011,301.8893,6.6882,0.022155
6,294.3662,301.8893,7.5231,0.02492
7,294.0532,301.8893,7.8361,0.025957
8,293.7354,300.6104,6.875,0.02287
9,293.7464,300.6104,6.864,0.022833
10,293.9804,300.6104,6.63,0.022055
11,293.5196,300.6104,7.0908,0.023588
12,293.6527,299.98,6.3273,0.021092
13,293.6798,299.98,6.3003,0.021002
14,295.1469,299.98,4.8331,0.016111
15,294.7579,299.98,5.2221,0.017408
16,294.5875,299.8561,5.2686,0.017571
17,293.5683,299.8561,6.2879,0.02097
18,293.6422,299.8561,6.2139,0.020723
19,295.115,299.8561,4.7412,0.015811
20,294.3695,298.5652,4.1958,0.014053
21,293.9228,298.5652,4.6425,0.015549
22,293.9567,298.5652,4.6086,0.015436
23,294.0564,298.5652,4.5089,0.015102
24,298.2468,297.6776,0.5692,0.001912
25,295.5747,297.6776,2.1029,0.007065
26,294.8054,297.6776,2.8723,0.009649
27,295.7975,297.6776,1.8801,0.006316
28,294.4564,297.1973,2.741,0.009223
29,294.7056,297.1973,2.4917,0.008384
30,293.751,297.1973,3.4464,0.011596
31,294.9086,297.1973,2.2888,0.007701
32,293.6341,296.8482,3.2141,0.010827
33,295.7805,296.8482,1.0676,0.003597
34,295.4626,296.8482,1.3855,0.004667
35,294.4283,296.8482,2.4199,0.008152
36,294.0608,296.7191,2.6583,0.008959
37,293.7889,296.7191,2.9302,0.009875
38,293.4861,296.7191,3.233,0.010896
39,295.4168,296.7191,1.3023,0.004389
40,294.6185,297.4102,2.7917,0.009387
41,296.0826,297.4102,1.3275,0.004464
42,294.104,297.4102,3.3061,0.011116
43,293.921,297.4102,3.4891,0.011732
44,294.1678,296.9114,2.7436,0.009241
45,293.9386,296.9114,2.9728,0.010012
46,293.4547,296.9114,3.4567,0.011642
47,294.6159,296.9114,2.2955,0.007731
48,294.472,296.5438,2.0718,0.006986
49,293.8584,296.5438,2.6853,0.009055
50,293.853,296.5438,2.6908,0.009074
51,293.8466,296.5438,2.6972,0.009095
52,293.7499,296.3105,2.5606,0.008642
53,293.5788,296.3105,2.7316,0.009219
54,293.4681,296.3105,2.8424,0.009593
55,293.4415,296.3105,2.869,0.009682
56,293.4495,296.1418,2.6923,0.009091
57,294.2816,296.1418,1.8602,0.006281
58,296.1092,296.1418,0.0326,0.00011
59,294.4127,296.1418,1.7292,0.005839
60,294.4247,298.9617,4.5371,0.015176
61,294.6455,298.9617,4.3163,0.014438
62,294.0782,298.9617,4.8836,0.016335
63,294.533,298.9617,4.4287,0.014814
64,294.5286,298.3499,3.8213,0.012808
65,294.4969,298.3499,3.853,0.012914
66,293.8594,298.3499,4.4905,0.015051
67,294.4827,298.3499,3.8672,0.012962
68,294.3615,298.643,4.2816,0.014337
69,293.9249,298.643,4.7182,0.015799
70,296.2679,298.643,2.3752,0.007953
71,294.6474,298.643,3.9956,0.013379
72,293.9509,298.6107,4.6598,0.015605
73,295.214,298.6107,3.3967,0.011375
74,294.8129,298.6107,3.7978,0.012718
75,294.3024,298.6107,4.3083,0.014428
76,293.9786,298.1633,4.1847,0.014035
77,293.8168,298.1633,4.3465,0.014578
78,294.6162,298.1633,3.5471,0.011897
79,293.9371,298.1633,4.2262,0.014174
80,293.6207,296.0937,2.4731,0.008352
81,294.9229,296.0937,1.1709,0.003954
82,295.175,296.0937,0.9187,0.003103
83,293.8431,296.0937,2.2506,0.007601
84,293.7524,295.9338,2.1815,0.007371
85,293.5332,295.9338,2.4006,0.008112
86,293.4973,295.9338,2.4366,0.008233
87,294.9127,295.9338,1.0211,0.00345
88,294.7492,295.9143,1.1651,0.003937
89,294.3537,295.9143,1.5606,0.005274
90,293.904,295.9143,2.0103,0.006794
91,293.4923,295.9143,2.4221,0.008185
92,293.6369,296.0824,2.4455,0.00826
93,295.9176,296.0824,0.1648,0.000556
94,296.0377,296.0824,0.0447,0.000151
95,294.623,296.0824,1.4593,0.004929
96,293.7866,295.8308,2.0442,0.00691
97,294.3591,295.8308,1.4717,0.004975
98,293.8347,295.8308,1.9961,0.006748
99,294.4532,295.8308,1.3776,0.004657
,,,,
,294.498422,297.97254,,
