id,image_path,temp_field_path,T_avg,split
0000,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0000.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0000.npy,350.35601806640625,train
0001,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0001.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0001.npy,350.35601806640625,train
0002,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0002.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0002.npy,350.35601806640625,train
0003,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0003.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0003.npy,350.35601806640625,train
0004,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0004.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0004.npy,343.79522705078125,train
0005,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0005.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0005.npy,343.79522705078125,train
0007,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0007.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0007.npy,343.79522705078125,train
0008,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0008.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0008.npy,338.559326171875,train
0009,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0009.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0009.npy,338.559326171875,train
0010,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0010.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0010.npy,338.559326171875,train
0011,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0011.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0011.npy,338.559326171875,train
0012,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0012.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0012.npy,331.72015380859375,train
0014,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0014.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0014.npy,331.72015380859375,train
0015,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0015.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0015.npy,331.72015380859375,train
0016,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0016.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0016.npy,328.6518249511719,train
0017,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0017.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0017.npy,328.6518249511719,train
0018,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0018.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0018.npy,328.6518249511719,train
0019,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0019.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0019.npy,328.6518249511719,train
0020,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0020.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0020.npy,328.29522705078125,train
0021,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0021.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0021.npy,328.29522705078125,train
0022,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0022.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0022.npy,328.29522705078125,train
0024,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0024.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0024.npy,328.10711669921875,train
0025,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0025.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0025.npy,328.10711669921875,train
0026,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0026.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0026.npy,328.10711669921875,train
0027,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0027.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0027.npy,328.10711669921875,train
0028,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0028.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0028.npy,323.81268310546875,train
0029,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0029.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0029.npy,323.81268310546875,train
0030,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0030.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0030.npy,323.81268310546875,train
0031,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0031.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0031.npy,323.81268310546875,train
0032,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0032.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0032.npy,321.298583984375,train
0033,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0033.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0033.npy,321.298583984375,train
0034,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0034.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0034.npy,321.298583984375,train
0035,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0035.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0035.npy,321.298583984375,train
0036,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0036.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0036.npy,318.26922607421875,train
0037,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0037.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0037.npy,318.26922607421875,train
0038,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0038.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0038.npy,318.26922607421875,train
0039,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0039.npy,D:\Diff_Topo\开源\topodiff-main\data\flow_channels_1764_train\data_0039.npy,318.26922607421875,train
